本产品不含120欧终端电阻，若需要需客户自己配备,,,,,,,,,,,,,,,,,
RS485自定义协议（小端序）,,,,,,,,,,,,,,,,,
名    称,帧头1,帧头2,长度,ID,命令,命令值,命令值解析,检验和,返 回 值,帧头1,帧头2,长度,ID,命令,命令值,命令值解析,检验和
获取ID,A3,B4,02,00,6A,- -,- -,6C,,A3,B4,02,01,6A,- -,- -,6D
修改设备ID,A3,B4,03,01,6B,02,- -,71,,- -,- -,- -,- -,- -,- -,- -,- -
设置夹爪协议,A3,B4,04,02,6F,01 00,(02 00为MoubusRtu协议，01 00为自定义协议),76,,- -,- -,- -,- -,- -,- -,- -,- -
夹取,A3,B4,05,01,03 00,E8 03,"E8 03(1000)速度值,范围（200~1500）",F4,,- -,- -,- -,- -,- -,- -,- -,- -
松开,A3,B4,02,01,01,- -,- -,04,,- -,- -,- -,- -,- -,- -,- -,- -
获取出厂编号,A3,B4,02,01,75,- -,- -,78,,A3,B4,09,01,75,45 47 2d 39 38 30 31,解析为字符串(EG-9801),0A
强制校准,A3,B4,02,01,64,- -,- -,67,,- -,- -,- -,- -,- -,- -,- -,- -
设置目标夹取力,A3,B4,04,01,7A,32 00,"32 00(50)设置目标夹取力,范围（1~100）",B1,,- -,- -,- -,- -,- -,- -,- -,- -
获取目标夹取力,A3,B4,02,01,7B,- -,- -,7E,,A3,B4,04,01,7B,32 00,"32 00(50)设置目标夹取力,范围（1~100）",B1
获取夹爪设备信息,A3,B4,02,01,08,- -,- -,0B,,A3,B4,09,01,08,00 64 00 AC 0D 32 00,"00(状态值:00--夹爪常态,01--夹爪夹取,02--等待抓稳,03--抓稳) 64 00（100:物体硬度，只有在使用内置算法时，才会进行物体软硬度的检测）AC 0D(3500:夹爪当前位置) 32 00(50:夹爪电流值)",58
获取末端夹指数据,A3,B4,03,01,52,00,00保留值,56,,A3,B4,0F,01,53,01 f4 ff 19 00 7e 00 a3 ff 55 00 06 01,01(保留位) F4 FF(-12 X1数值) 19 00(25 X2数值) 7E 00（126 Y1数值）A3 FF（-93 Y2数值）55 00(85 Z1数值) 06 01（262 Z2数值）,EC
夹爪切换位置模式,A3,B4,03,01,02,01,01（00--切换为自动模式，01--位置模式）,07,,- -,- -,- -,- -,- -,- -,- -,- -
发送位置指令,A3,B4,09,01,10,01 E8 03 E8 03 FF FF,01(保留位) E8 03(1000:夹爪位置模式运行速度) E8 03(1000:运行至位置1000(范围:0~1000)) FF FF(保留位),EF,,- -,- -,- -,- -,- -,- -,- -,- -
末端硬件清零,A3,B4,02,01,12,- -,末端指尖力硬件清零指令,15,,- -,- -,- -,- -,- -,- -,- -,- -
修改波特率,A3,B4,06,01,7F,40 42 0F 00,夹爪修改波特率指令，范围115200~1000000，int32_t,17,,A3,B4,03,01,7F,01,01---修改成功  00---修改失败,84
记录末端零点,A3,B4,02,01,6C,- -,夹爪记录末端指尖力零点位置,6F,,- -,- -,- -,- -,- -,- -,- -,- -
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ModbusRTU协议(03命令码皆可访问单个寄存器),,,,,,,,,,,,,,,,,
名    称,命令,寄存器地址,寄存器个数,长度,寄存器值,ID,CRC16小端序,完整协议,,返回值,命令,长度,寄存器值,,,接收到完整帧,
获取夹爪设备信息,03,0x0000,10(可对应MoubusRTU寄存器表获取单个寄存器值),--,--,01,c5 cd,01 03 00 00 00 0a c5 cd,,,03,20(0x14),00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27(每两个字节为一个寄存器的值),,,01 03 14 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27 E3 7D ,
获取出厂编号,04,0x0013,6,--,--,01,81 cd,01 04 00 13 00 06 81 cd,,,04,12(0x0C),00 0A(出厂编号长度) 54 47 2D 39 38 30 31 30 30 30(解析为字符为TG-9801000),,,01 04 0C 00 0A 54 47 2D 39 38 30 31 30 30 30 D5 D1,
夹取,10,0x000A,2,04,03 e8(1000:夹取速度) 00 01(夹取指令),01,32 60,01 10 00 0a 00 02 04 03 e8 00 01 32 60,,,10,--,00 0A 00 02(00 0A为发送的起始地址，00 02为接收到要修改的两个寄存器),,,01 10 00 0A 00 02 61 CA,
松开,10,0x000A,2,04,03 e8(1000:夹取速度) 00 00(松开指令),01,F3 A0,01 10 00 0A 00 02 04 03 E8 00 00 F3 A0,,,10,--,00 0A 00 02(00 0A为发送的起始地址，00 02为接收到要修改的两个寄存器),,,01 10 00 0A 00 02 61 CA,
修改设备ID,06,0x000D,--,--,00 02(ID修改为02),01,99 C8,01 06 00 0D 00 02 99 C8 ,,,命令回显,,,,,01 06 00 0D 00 02 99 C8,
设置夹爪协议,06,0x000C,--,--,"00 01(00 01为485自定义协议,00 02为ModbusRTu协议)",01,88 09,01 06 00 0C 00 01 88 09,,,命令回显,,,,,01 06 00 0C 00 01 88 09,
强制校准,06,0x0011,--,--,"00 01(00 01为发送强制校准命令,主要用于强制校准末端指尖力)",01,18 0F,01 06 00 11 00 01 18 0F,,,命令回显,,,,,01 06 00 11 00 01 18 0F,
设置目标夹取力,06,0x0012,--,--,00 32(50:目标夹取力范围1~100),01,A8 1A,01 06 00 12 00 32 A8 1A,,,命令回显,,,,,01 06 00 12 00 32 A8 1A,
获取目标夹取力,03,0x0012,1,--,--,01,24 0F,01 03 00 12 00 01 24 0F,,,03,02,00 32(50:目标夹取力),,,01 03 02 00 32 39 91,
夹爪切换位置模式,06,0x000E,,--,"00 01(00 00为自适应抓取,00 01为位置模式)",01,29 C9,01 06 00 0E 00 01 29 C9,,,命令回显,,,,,01 06 00 0E 00 01 29 C9,
发送位置指令,10,0x000F,2,04,03 E8(1000:位置模式速度，范围200~1500) 03 E8(1000:位置模式下运动到达的位置),01,35 6F,01 10 00 0F 00 02 04 03 E8 03 E8 33 21 ,,,10,--,00 0F 00 02(00 0F为发送的起始地址，00 02为接收到要修改的两个寄存器),,,01 10 00 0F 00 02 71 CB,
获取随动状态,03,0x001A,1,--,--,01,A5 CD,01 03 00 1A 00 01 A5 CD,,,03,--,00 00(00 00---未使用随动模式，00 01--使用随动模式，但未到达指定位置，00 02--随动位置，已到达指定位置),,,01 10 00 0F 00 02 71 CB,
末端硬件清零,06,0x001D,--,--,00 01(00 00也可以，当前只识别06下修改1D寄存器的值的时候，进行硬件清零),01,D8 0C,01 06 00 1D 00 01 D8 0C,,,命令回显,,,,,01 06 00 1D 00 01 D8 0C,
