100g speed50
---
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=140752082), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[148, -270])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=173747016), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -266])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=206743963), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -262])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=239714365), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[151, -255])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=272736363), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[148, -269])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=305740277), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -251])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=338736625), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -253])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=437719063), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -251])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=536739209), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -264])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=569775532), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[150, -259])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=635737365), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[147, -259])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=668749895), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -246])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=734733488), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -263])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=767748319), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -267])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=800773172), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -223])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=833736725), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[148, -252])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=866758384), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -258])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=899741558), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[148, -266])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=932708979), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[152, -246])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=965691009), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -262])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509186, nanosec=998736865), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -247])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=97730223), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[148, -240])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=196714487), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[148, -284])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=229718331), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -268])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=295678215), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[150, -252])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=328679091), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -261])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=361676607), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -259])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717509187, nanosec=394680684), frame_id='inspire_actuator_id2'), name=['postion', 'force'], data=[149, -272])
