coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646171, nanosec=829977381), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -55])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646171, nanosec=895984265), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -50])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646171, nanosec=929003594), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -52])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646171, nanosec=994998795), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -52])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=27957508), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -58])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=93965743), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -57])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=126955296), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -59])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=159992604), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -48])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=192996738), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -51])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=225946542), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -49])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=258972399), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -57])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=291970673), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -76])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=324977768), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -60])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=357950513), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -60])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=390971265), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -75])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=423966568), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -71])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=456970448), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -54])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=489963147), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -48])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=555966940), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -57])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=588958797), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -59])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=654940906), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -52])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=687944987), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -64])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=753926676), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -59])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=786945733), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -53])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=852937239), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1997, -47])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=885933928), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -46])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=918945457), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -53])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=951945871), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -58])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646172, nanosec=984951688), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -61])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=17914188), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -46])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=50914184), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -50])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=83934548), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -60])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=116935697), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -61])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=149903602), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -57])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=182939046), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[2000, -45])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=215930823), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -59])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=248921234), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -40])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=314914843), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -36])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=347914454), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -45])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646173, nanosec=413871036), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -36])
