index,x,y,z
2,4.49451,6.37601,-44.3198
2,4.38574,6.27967,-44.2343
2,4.35961,6.38391,-44.2673
2,4.34548,6.34199,-44.2823
2,4.4127,6.44562,-44.3158
2,4.32351,6.38095,-44.2393
2,4.3323,6.44877,-44.2794
2,4.42367,6.37424,-44.2664
2,4.42326,6.38048,-44.327
2,4.43022,6.39258,-44.2991
2,4.35562,6.27178,-44.2275
2,4.49098,6.37282,-44.4089
2,4.38484,6.31524,-44.2645
2,4.40085,6.43854,-44.2634
2,4.37861,6.39495,-44.2909
2,4.34061,6.41574,-44.3045
2,4.43857,6.35188,-44.3312
2,4.40418,6.41346,-44.3201
2,4.37174,6.38255,-44.2575
4,3.32011,4.58781,-44.8727
4,3.36601,4.67289,-44.8942
4,3.43191,4.60991,-44.9822
4,3.33759,4.60724,-44.9267
4,3.38478,4.72579,-44.9162
4,3.35493,4.59633,-44.8968
4,3.41442,4.60705,-44.9457
4,3.31032,4.60915,-44.8815
4,3.36207,4.54789,-44.8683
4,3.29523,4.60678,-44.8845
4,3.38246,4.62511,-44.9495
4,3.36437,4.60998,-44.8809
4,3.39205,4.52651,-44.8956
4,3.34151,4.54227,-44.8565
4,3.37582,4.63651,-44.8517
4,3.41221,4.60289,-44.8974
4,3.32778,4.55223,-44.9041
4,3.26763,4.48354,-44.8173
4,3.40229,4.6275,-45.0144
6,-0.715938,3.96788,-44.7295
6,-0.644311,3.98433,-44.8127
6,-0.633789,4.01414,-44.8521
6,-0.725536,3.99483,-44.756
6,-0.635871,4.02742,-44.8606
6,-0.752157,3.99858,-44.7882
6,-0.672884,4.04045,-44.8417
6,-0.691356,4.02557,-44.8439
6,-0.611819,4.04293,-44.9096
6,-0.650978,4.04259,-44.8425
6,-0.643438,3.9547,-44.7592
6,-0.64367,4.04452,-44.8595
6,-0.678192,4.04666,-44.8201
6,-0.608158,3.98428,-44.8919
6,-0.605469,3.9996,-44.8931
6,-0.603693,4.01343,-44.919
6,-0.648813,4.00669,-44.8445
6,-0.608045,4.01953,-44.8308
6,-0.76038,3.94347,-44.7249
8,-6.3548,2.99748,-44.5587
8,-6.51122,2.96203,-44.4452
8,-6.28534,2.95588,-44.603
8,-6.36969,2.96321,-44.5126
8,-6.54074,3.02656,-44.3151
8,-6.34949,2.99066,-44.5018
8,-6.472,2.85675,-44.4116
8,-6.35161,2.95508,-44.5156
8,-6.4482,2.93029,-44.4211
8,-6.34888,2.88195,-44.5061
8,-6.3592,2.85151,-44.5207
8,-6.46468,2.97777,-44.4044
8,-6.48115,2.88407,-44.4555
8,-6.41864,2.98095,-44.4768
8,-6.36307,2.96124,-44.492
8,-6.38038,2.95691,-44.5263
8,-6.36948,2.91557,-44.5451
8,-6.47885,2.99563,-44.4655
8,-6.44684,3.00953,-44.4609
10,-8.82799,-5.99875,-43.972
10,-8.84429,-5.94921,-43.8943
10,-8.84523,-5.88462,-43.9231
10,-8.72876,-5.963,-44.0898
10,-8.80046,-5.90472,-43.9742
10,-8.824,-5.9678,-43.9739
10,-8.79991,-5.95611,-43.9808
10,-8.80751,-5.94867,-43.9677
10,-8.81804,-5.99634,-43.9421
10,-8.85961,-6.00569,-43.9044
10,-8.81561,-5.95403,-43.9404
10,-8.77873,-6.00245,-43.9995
10,-8.92272,-5.96772,-43.8733
10,-8.83978,-5.98246,-43.9273
10,-8.85422,-5.97841,-43.9203
10,-8.89018,-5.94837,-43.9292
10,-8.82692,-5.99932,-43.9994
10,-8.84394,-5.97693,-43.9184
10,-8.73828,-5.94971,-44.0344
12,-4.00513,-12.3658,-43.4591
12,-3.89985,-12.2937,-43.5684
12,-3.89333,-12.3556,-43.588
12,-3.96115,-12.2331,-43.5667
12,-3.9643,-12.3131,-43.5258
12,-3.86134,-12.3235,-43.5959
12,-4.00869,-12.3942,-43.4407
12,-3.99,-12.2621,-43.4845
12,-4.00917,-12.2741,-43.4774
12,-3.84042,-12.3735,-43.6144
12,-3.89475,-12.4533,-43.5416
12,-3.95184,-12.3341,-43.5361
12,-3.92112,-12.3977,-43.5468
12,-3.89983,-12.313,-43.58
12,-3.96612,-12.3366,-43.4873
12,-4.03587,-12.3176,-43.4648
12,-3.92314,-12.2564,-43.5666
12,-3.95401,-12.3708,-43.4889
14,3.90225,-14.7751,-42.1322
14,3.86715,-14.7531,-42.1125
14,4.01293,-14.7513,-42.2302
14,3.92166,-14.7216,-42.1333
14,3.92443,-14.7627,-42.1347
14,3.90735,-14.8559,-42.1371
14,3.90799,-14.7156,-42.144
14,3.98236,-14.7131,-42.2379
14,3.97873,-14.77,-42.1742
14,3.93467,-14.7793,-42.1764
14,4.01853,-14.7476,-42.2322
14,3.99426,-14.7818,-42.2072
