index,x,y,z
2,0.879055,-1.62175,-41.8657
2,0.890619,-1.681,-41.8287
2,0.828617,-1.59473,-41.7633
2,0.815249,-1.51923,-41.7976
2,0.905358,-1.62386,-41.8235
2,0.847209,-1.58017,-41.8475
2,0.82637,-1.65062,-41.7855
2,0.83625,-1.63488,-41.8022
2,0.814561,-1.57061,-41.713
2,0.833125,-1.60997,-41.7804
2,0.869973,-1.63344,-41.793
2,0.825105,-1.56655,-41.8031
2,0.872569,-1.47369,-41.8489
2,0.856108,-1.61025,-41.7917
2,0.83881,-1.55348,-41.7812
2,0.764804,-1.59481,-41.7399
2,0.856889,-1.59195,-41.8117
2,0.910731,-1.64315,-41.8074
2,0.865096,-1.56023,-41.7712
4,1.03309,-17.2504,-39.0675
4,0.898915,-17.2172,-38.9577
4,0.957536,-17.2978,-38.9668
4,1.0237,-17.2069,-39.0315
4,1.02543,-17.3404,-39.0099
4,0.899525,-17.2662,-38.9092
4,0.898589,-17.2266,-38.9304
4,0.945618,-17.1511,-39.0184
4,0.945517,-17.1858,-38.97
4,0.920782,-17.2551,-38.9114
4,0.925755,-17.2996,-38.9184
4,0.919946,-17.2359,-38.9295
4,0.89971,-17.1658,-38.9714
4,0.92634,-17.2423,-38.9647
4,0.968474,-17.2178,-38.9833
4,0.930045,-17.1557,-38.9883
4,0.796787,-17.1783,-38.8289
4,0.902188,-17.1769,-38.9771
4,0.900625,-17.282,-38.9124
6,-12.7982,6.19793,-38.8079
6,-12.8296,6.21683,-38.77
6,-12.7872,6.24696,-38.859
6,-12.7522,6.23679,-38.8368
6,-12.782,6.20771,-38.8227
6,-12.7462,6.22872,-38.9311
6,-12.7234,6.25377,-38.8503
6,-12.7219,6.25762,-38.9197
6,-12.7059,6.29449,-38.8886
6,-12.7208,6.25624,-38.8898
6,-12.7671,6.21873,-38.8258
6,-12.7589,6.19278,-38.9219
6,-12.7232,6.19319,-38.9017
6,-12.8425,6.27432,-38.7558
6,-12.7082,6.18477,-38.9048
6,-12.8458,6.22346,-38.7636
6,-12.7124,6.24362,-38.8893
6,-12.9077,6.24762,-38.7004
6,-12.7246,6.22302,-38.8512
8,16.0756,5.72107,-38.5503
8,16.0294,5.7031,-38.5373
8,16.1482,5.76384,-38.633
8,16.1175,5.6861,-38.5501
8,16.1245,5.80055,-38.633
8,16.0999,5.65572,-38.6018
8,16.195,5.80945,-38.66
8,16.0337,5.7974,-38.5701
8,16.1829,5.64644,-38.6375
8,16.0226,5.72975,-38.5383
8,16.0833,5.70992,-38.6056
8,16.1739,5.70585,-38.6771
8,16.0652,5.71953,-38.5851
8,16.0926,5.69524,-38.5553
8,16.0817,5.72193,-38.621
8,16.1112,5.77275,-38.6279
8,16.1322,5.75986,-38.6326
8,16.0887,5.72848,-38.6299
8,16.0747,5.68054,-38.6535
10,2.55955,-0.251626,-42.4526
10,2.47718,-0.244818,-42.3557
10,2.52601,-0.292552,-42.3437
10,2.55057,-0.301928,-42.4147
10,2.4804,-0.343957,-42.2875
10,2.45438,-0.280754,-42.3667
10,2.46399,-0.190795,-42.3085
10,2.49866,-0.263138,-42.3211
10,2.57038,-0.328554,-42.3988
10,2.54652,-0.317551,-42.3998
10,2.51027,-0.330699,-42.3556
10,2.60853,-0.238111,-42.4722
10,2.48913,-0.296218,-42.3715
10,2.56882,-0.270276,-42.4272
10,2.49081,-0.21492,-42.309
10,2.52725,-0.322732,-42.3931
10,2.49909,-0.235364,-42.3399
10,2.51294,-0.295809,-42.4072
10,2.4287,-0.26417,-42.3317
12,3.44295,-15.58,-41.5271
12,3.48664,-15.6422,-41.5448
12,3.38278,-15.6108,-41.4578
12,3.36791,-15.5843,-41.4555
12,3.41818,-15.5848,-41.4911
12,3.5137,-15.6123,-41.579
12,3.5408,-15.6233,-41.5942
12,3.37188,-15.6534,-41.44
12,3.40832,-15.6195,-41.467
12,3.41508,-15.6284,-41.4799
12,3.4376,-15.6636,-41.4792
12,3.43503,-15.6083,-41.483
12,3.42445,-15.595,-41.507
12,3.42617,-15.5632,-41.5029
12,3.45925,-15.6554,-41.4866
12,3.44179,-15.5815,-41.5141
12,3.42855,-15.6465,-41.4673
12,3.45243,-15.5968,-41.5274
12,3.43337,-15.6752,-41.4768
14,-11.2825,5.93579,-41.6665
14,-11.2917,6.01068,-41.7242
14,-11.3028,6.01894,-41.6688
14,-11.3172,5.98943,-41.5871
14,-11.3265,5.97682,-41.6395
14,-11.3868,5.96133,-41.5365
14,-11.3254,5.93543,-41.6063
14,-11.3685,5.97277,-41.6064
14,-11.2346,5.92369,-41.7031
14,-11.2898,5.97793,-41.6447
14,-11.3726,5.97477,-41.5951
14,-11.2408,5.96428,-41.6548
14,-11.2811,5.96975,-41.6428
14,-11.2944,5.99076,-41.6149
14,-11.2959,5.9988,-41.6687
14,-11.1882,5.93457,-41.7673
14,-11.3576,6.05463,-41.6063
14,-11.275,5.95161,-41.7055
14,-11.2663,6.0216,-41.6863
16,14.7885,7.48813,-41.1123
16,14.8106,7.50233,-41.1415
16,14.8028,7.51211,-41.1624
16,14.8795,7.39464,-41.2353
16,14.7599,7.44632,-41.1236
16,14.8375,7.48203,-41.1735
16,14.8178,7.47651,-41.1931
16,14.8755,7.41162,-41.237
16,14.7871,7.53532,-41.195
16,14.6881,7.44575,-41.0643
16,14.8297,7.38273,-41.1781
16,14.8383,7.42454,-41.2181
16,14.6527,7.52425,-41.0099
16,14.7593,7.46109,-41.0941
16,14.7788,7.41993,-41.1271
16,14.7478,7.46694,-41.1061
16,14.7448,7.41558,-41.1351
16,14.7184,7.47277,-41.0928
16,14.7388,7.42919,-41.0288
18,-2.24424,-26.4174,-29.5595
18,-2.2416,-26.4249,-29.5124
18,-2.26382,-26.3573,-29.5519
18,-2.30512,-26.3365,-29.5298
18,-2.25826,-26.4804,-29.5515
18,-2.27041,-26.4449,-29.5215
18,-2.21828,-26.3948,-29.6365
18,-2.24687,-26.4493,-29.5278
18,-2.22948,-26.422,-29.5864
18,-2.19911,-26.4711,-29.6328
18,-2.29369,-26.3695,-29.5883
18,-2.29777,-26.4229,-29.5211
18,-2.33611,-26.3531,-29.4792
18,-2.28124,-26.3587,-29.5535
18,-2.23599,-26.4657,-29.5685
18,-2.27227,-26.4556,-29.5263
18,-2.33371,-26.3957,-29.5151
18,-2.34739,-26.4313,-29.4822
18,-2.24965,-26.458,-29.4972
20,-20.4008,12.5527,-29.9217
20,-20.3047,12.4866,-29.987
20,-20.3778,12.5062,-29.9951
20,-20.4067,12.4844,-29.8906
20,-20.445,12.531,-29.8783
20,-20.4649,12.5721,-29.866
20,-20.4663,12.5772,-29.866
20,-20.4248,12.5088,-29.886
20,-20.4858,12.5516,-29.8406
20,-20.3796,12.5994,-29.9394
20,-20.3936,12.556,-29.9673
20,-20.4678,12.5917,-29.8675
20,-20.4357,12.534,-29.9122
20,-20.3476,12.5855,-30.0397
20,-20.4307,12.5716,-29.8823
20,-20.459,12.5297,-29.8749
20,-20.3908,12.5668,-29.9765
20,-20.494,12.5099,-29.8315
20,-20.5099,12.5731,-29.7753
22,24.0859,7.95659,-29.2111
22,24.0918,8.0275,-29.2297
22,24.0743,7.98459,-29.1727
22,24.1317,7.94988,-29.2161
22,24.0608,7.94062,-29.1858
22,24.0553,7.89991,-29.1682
22,24.032,7.95419,-29.1609
22,24.1204,7.9534,-29.2647
22,24.0698,7.95826,-29.1886
22,24.1638,7.92457,-29.2667
22,24.1359,7.95054,-29.2909
22,24.0808,7.90643,-29.1986
22,24.0234,7.99974,-29.1819
22,24.0717,8.01131,-29.201
22,23.9879,7.97522,-29.1319
22,24.1769,7.92676,-29.2688
22,24.0505,7.9186,-29.1588
22,24.1089,7.9835,-29.2472
22,24.0991,7.86627,-29.2061
24,0.317471,-2.32123,-41.3714
24,0.284364,-2.30175,-41.3397
24,0.285771,-2.32103,-41.36
24,0.309438,-2.29578,-41.3522
24,0.389554,-2.31508,-41.3842
24,0.302606,-2.32886,-41.3546
24,0.319802,-2.3188,-41.3858
24,0.220465,-2.32632,-41.2764
24,0.440533,-2.36969,-41.4659
24,0.326144,-2.35522,-41.365
24,0.324521,-2.29633,-41.3369
24,0.25407,-2.31297,-41.2756
24,0.282106,-2.2581,-41.3621
24,0.25503,-2.27855,-41.3036
24,0.309711,-2.33329,-41.359
24,0.294606,-2.29664,-41.3277
24,0.302117,-2.33069,-41.3078
24,0.288863,-2.28569,-41.3106
24,0.29335,-2.29211,-41.3154
