index,x,y,z
2,8.09326,0.827609,-40.9449
2,8.04489,0.818849,-40.9402
2,8.14254,0.865351,-41.0152
2,7.97722,0.851638,-40.8919
2,7.94074,0.889896,-40.837
2,8.08282,0.799801,-40.9235
2,7.99571,0.827341,-40.8739
2,8.14192,0.771647,-40.9612
2,8.16812,0.80813,-40.9719
2,8.05009,0.852216,-40.9223
2,8.12619,0.74234,-40.9847
2,8.03882,0.780806,-40.9109
2,8.07744,0.780204,-40.9269
2,8.17182,0.790787,-40.9666
2,8.15834,0.811347,-40.9955
2,8.03574,0.895294,-40.8909
2,8.11819,0.758506,-40.9791
2,8.17115,0.927588,-41.0083
2,7.99336,0.833571,-40.8148
4,8.61294,-5.51913,-41.2484
4,8.73336,-5.46876,-41.3342
4,8.67413,-5.46804,-41.279
4,8.69377,-5.34399,-41.2476
4,8.65724,-5.49471,-41.2882
4,8.63528,-5.4915,-41.2644
4,8.54127,-5.39372,-41.1149
4,8.76805,-5.51474,-41.3591
4,8.56906,-5.42035,-41.1831
4,8.58153,-5.48135,-41.206
4,8.66281,-5.4301,-41.3119
4,8.54287,-5.47897,-41.1492
4,8.73613,-5.45883,-41.3686
4,8.63405,-5.44814,-41.2527
4,8.72566,-5.39187,-41.345
4,8.69629,-5.37622,-41.2954
4,8.7295,-5.5355,-41.3406
4,8.68739,-5.39724,-41.2895
4,8.7113,-5.4998,-41.3375
6,-4.97675,-3.44112,-41.9627
6,-4.85635,-3.54521,-42.0785
6,-4.93162,-3.48059,-42.0129
6,-4.95514,-3.42387,-42.0498
6,-4.85171,-3.427,-42.0923
6,-4.91869,-3.41696,-42.0482
6,-4.88998,-3.4948,-42.0941
6,-4.90216,-3.40056,-42.086
6,-4.87695,-3.39859,-42.099
6,-5.03152,-3.38638,-41.9558
6,-4.83897,-3.61604,-42.0985
6,-5.00454,-3.45295,-41.9223
6,-4.94283,-3.50455,-42.0303
6,-4.95687,-3.46803,-42.0136
6,-4.92741,-3.46686,-41.9834
6,-4.82328,-3.45593,-42.1032
6,-4.78116,-3.59733,-42.1744
6,-5.00137,-3.50668,-41.9761
6,-4.86246,-3.466,-42.0852
8,10.5313,-0.770269,-41.0721
8,10.4306,-0.883817,-40.9576
8,10.4109,-0.854358,-40.9584
8,10.4948,-0.88156,-41.039
8,10.4436,-0.977395,-41.0124
8,10.4822,-0.915085,-41.0214
8,10.5203,-0.880577,-41.0526
8,10.5378,-0.947682,-41.0679
8,10.3136,-0.889111,-40.8793
8,10.5235,-0.815829,-41.0431
8,10.4418,-0.90091,-41.0298
8,10.3955,-0.884054,-40.9324
8,10.311,-0.84035,-40.9007
8,10.3877,-0.925428,-40.9403
8,10.2554,-0.821478,-40.8034
8,10.2862,-0.906565,-40.8542
8,10.5171,-0.871829,-41.0285
8,10.363,-0.874391,-40.9258
8,10.4169,-0.854278,-40.9404
10,11.0695,-3.84834,-41.0664
10,11.1244,-3.78646,-41.0825
10,10.9771,-3.88117,-40.9708
10,11.1668,-3.86959,-41.1019
10,11.0853,-3.93207,-41.0764
10,11.1897,-3.88873,-41.1267
10,11.1493,-3.89746,-41.1073
10,11.1686,-3.91754,-41.0929
10,11.0607,-3.94633,-41.0236
10,10.9798,-3.93059,-41.0241
10,11.1117,-3.94476,-41.0896
10,11.1033,-3.91947,-41.0929
10,10.9577,-3.82433,-40.9578
10,11.146,-3.93342,-41.0922
10,11.1879,-3.89627,-41.1333
10,11.1418,-3.97827,-41.0865
10,11.1513,-3.86379,-41.0867
10,11.0036,-3.91264,-40.978
10,11.1365,-3.91314,-41.1336
12,4.19105,-8.73499,-43.2236
12,4.10304,-8.65429,-43.1973
12,4.15356,-8.65521,-43.2245
12,4.22082,-8.73838,-43.2666
12,4.08809,-8.64208,-43.1786
12,4.07427,-8.70264,-43.2788
12,4.1352,-8.70631,-43.2189
12,4.16097,-8.70467,-43.1995
12,4.21394,-8.7673,-43.2961
12,4.15713,-8.75378,-43.2248
12,4.04469,-8.66322,-43.1798
12,4.00298,-8.67955,-43.1252
12,4.07991,-8.722,-43.233
12,4.17778,-8.75088,-43.2992
12,4.06963,-8.74324,-43.1658
12,4.07743,-8.72554,-43.25
12,4.2022,-8.80666,-43.2778
12,4.16236,-8.74548,-43.2409
12,4.14318,-8.82924,-43.2481
14,8.36591,-7.13325,-43.076
14,8.44436,-6.93974,-43.1559
14,8.5051,-6.9991,-43.1732
14,8.43774,-6.92948,-43.17
14,8.2404,-6.90928,-43.0204
14,8.36993,-6.92111,-43.1089
14,8.4436,-6.97546,-43.1339
14,8.31687,-6.96282,-43.0649
14,8.4059,-7.02853,-43.1275
14,8.45829,-7.01854,-43.1804
14,8.34479,-6.94958,-43.0864
14,8.27374,-6.88629,-43.0553
14,8.31688,-7.02751,-42.9887
14,8.23815,-6.93359,-43.02
14,8.31793,-7.05839,-43.0624
14,8.38828,-7.01344,-43.0609
14,8.28702,-6.97473,-43.0093
14,8.36895,-6.87832,-43.127
14,8.36205,-6.94832,-43.132
16,6.18467,-8.58827,-42.4477
16,6.16722,-8.6811,-42.4589
16,6.07553,-8.51609,-42.3694
16,6.15503,-8.59679,-42.3848
16,6.15909,-8.60977,-42.4781
16,6.19246,-8.58517,-42.4785
16,6.16072,-8.67189,-42.4981
16,6.02086,-8.55945,-42.3347
16,6.05713,-8.65338,-42.3264
16,6.1453,-8.66459,-42.4367
16,6.07549,-8.58575,-42.3761
16,6.09437,-8.58738,-42.4157
16,6.19328,-8.62174,-42.4821
16,6.02826,-8.58433,-42.3395
16,5.96602,-8.63552,-42.2677
16,6.01458,-8.60063,-42.3101
16,6.14349,-8.5793,-42.4481
16,6.0367,-8.66761,-42.3358
16,6.09394,-8.66642,-42.4406
18,-5.57488,-0.0555757,-41.1241
18,-5.5957,-0.0350139,-41.103
18,-5.75724,-0.00857194,-40.9268
18,-5.53183,-0.0680417,-41.2033
18,-5.59813,0.00752142,-41.0551
18,-5.46998,0.026894,-41.231
18,-5.49561,-0.0356315,-41.1637
18,-5.60195,0.0937153,-41.0925
18,-5.58267,0.0126628,-41.1091
18,-5.59399,-0.0152528,-41.0762
18,-5.49573,-0.0370546,-41.2509
18,-5.57247,0.0164042,-41.1221
18,-5.62634,-0.120389,-41.0706
18,-5.62052,0.00455296,-41.1057
18,-5.59565,0.073243,-41.1038
18,-5.54795,0.0186549,-41.1291
18,-5.62781,0.0274956,-41.0546
18,-5.53094,-0.00284372,-41.173
20,12.8202,1.99939,-38.1794
20,12.7367,2.02611,-38.1146
20,12.8413,2.03369,-38.1721
20,12.9027,1.9621,-38.2575
20,12.8104,2.02803,-38.1603
20,12.8025,1.89746,-38.1703
20,12.8715,2.00669,-38.2122
20,12.7413,1.93452,-38.1573
20,12.8305,2.01188,-38.1792
20,12.7067,1.9689,-38.1009
20,12.7995,2.0082,-38.1838
20,12.7772,1.99875,-38.134
20,12.9014,1.86709,-38.2539
20,12.6933,2.05342,-38.1064
20,12.7097,2.08972,-38.1157
20,12.8725,2.0003,-38.239
20,12.7318,2.03565,-38.0999
20,12.8332,1.99802,-38.1564
20,12.8231,2.02835,-38.1861
22,1.41784,2.79871,-40.9874
22,1.35612,2.84641,-40.9684
22,1.46022,2.76763,-41.1001
22,1.50577,2.8015,-41.0415
22,1.58894,2.7281,-41.0962
22,1.56812,2.77933,-41.0557
22,1.57039,2.76224,-41.0394
22,1.58404,2.84886,-41.1689
22,1.53201,2.88025,-41.0863
22,1.52185,2.78635,-41.0574
22,1.47958,2.80567,-41.0453
22,1.64826,2.75671,-41.1668
22,1.49646,2.72932,-41.1302
22,1.52549,2.72994,-41.0089
22,1.51303,2.65986,-41.0925
22,1.63983,2.82051,-41.168
22,1.44038,2.78651,-40.9811
22,1.53325,2.77659,-41.0229
22,1.5138,2.69763,-41.0643
24,-4.24518,2.21728,-41.8589
24,-4.29715,2.11249,-41.8079
24,-4.30388,2.23573,-41.882
24,-4.28039,2.17555,-41.7757
24,-4.38981,2.24121,-41.7019
24,-4.23936,2.12108,-41.909
