index,x,y,z
1,6.14758,2.54397,-41.5186
1,6.11617,2.52609,-41.5119
1,6.06434,2.49137,-41.4431
1,6.17782,2.45574,-41.5357
1,6.14945,2.53023,-41.5257
1,6.1992,2.42828,-41.5951
1,6.26181,2.47975,-41.5928
1,6.13782,2.44373,-41.5334
1,6.24667,2.4745,-41.5909
2,23.6485,-2.77838,-34.1386
2,23.6658,-2.74131,-34.1379
2,23.625,-2.85043,-34.1316
2,23.6275,-2.80058,-34.0841
2,23.645,-2.75885,-34.0967
2,23.6976,-2.79857,-34.116
2,23.6466,-2.86265,-34.1211
2,23.6752,-2.78563,-34.1762
2,23.7709,-2.79591,-34.2292
3,7.23174,3.98412,-40.5121
3,7.33978,3.97079,-40.6127
3,7.32318,4.04722,-40.6009
3,7.37245,4.04659,-40.6919
3,7.27086,3.9781,-40.5881
3,7.33465,3.96315,-40.6079
3,7.16599,4.05236,-40.4492
3,7.21097,3.97828,-40.5468
3,7.31991,3.98479,-40.577
4,22.4077,7.04872,-33.826
4,22.2323,7.16495,-33.7068
4,22.4033,7.02553,-33.8231
4,22.4926,7.03519,-33.8539
4,22.341,7.05918,-33.8437
4,22.46,7.14243,-33.9302
4,22.362,7.07442,-33.8135
4,22.575,7.17376,-33.9227
4,22.4256,7.07178,-33.837
5,5.82916,2.51184,-41.6308
5,5.7485,2.63651,-41.7272
5,5.72895,2.55236,-41.6304
5,5.83123,2.50572,-41.6004
5,5.84747,2.52318,-41.7343
5,5.89036,2.53814,-41.8111
5,5.8293,2.46562,-41.7648
5,5.84611,2.50732,-41.8031
5,5.70632,2.56395,-41.5555
6,18.1527,15.2796,-33.1448
6,18.1297,15.3714,-33.1226
6,18.1716,15.3429,-33.1204
6,18.1543,15.3616,-33.1221
6,18.1389,15.3064,-33.1368
6,18.14,15.3315,-33.1435
6,18.0947,15.3389,-33.0702
6,18.1876,15.1557,-33.2101
6,18.2185,15.3578,-33.1648
7,6.70369,5.94329,-40.6006
7,6.60673,5.9739,-40.5296
7,6.63332,5.92469,-40.6167
7,6.66029,5.97313,-40.6044
7,6.6877,5.96463,-40.6228
7,6.61712,6.05466,-40.6038
7,6.63259,5.90876,-40.569
7,6.67371,5.93481,-40.5423
7,6.67173,5.93215,-40.6476
