index,x,y,z
1,1.77441,0.182353,-42.4027
1,1.72868,0.179983,-42.3632
1,1.83079,0.160918,-42.4339
1,1.70924,0.183993,-42.3386
1,1.75503,0.150717,-42.3476
1,1.75185,0.17824,-42.3756
1,1.81547,0.235451,-42.4193
1,1.84275,0.255107,-42.4626
1,1.74084,0.205672,-42.4111
1,1.74431,0.198564,-42.3418
1,1.76231,0.178828,-42.3919
1,1.84494,0.25115,-42.4715
1,1.80334,0.22507,-42.395
1,1.76876,0.194126,-42.3885
1,1.8074,0.23119,-42.3865
1,1.7804,0.240324,-42.4008
1,1.78239,0.166089,-42.4001
1,1.79663,0.219352,-42.4045
1,1.80056,0.206319,-42.4091
2,17.8073,4.09019,-45.2432
2,17.802,4.02022,-45.2164
2,17.7449,4.03021,-45.1698
2,17.7782,4.1126,-45.2139
2,17.734,4.0319,-45.1487
2,17.7088,4.03597,-45.164
2,17.7892,4.06513,-45.204
2,17.744,4.02468,-45.1727
2,17.7874,4.06765,-45.2096
2,17.6718,3.97256,-45.1159
2,17.795,4.07887,-45.2093
2,17.7248,3.99711,-45.1792
2,17.7356,4.03834,-45.1455
2,17.7289,4.01825,-45.1567
2,17.7647,4.09077,-45.1935
2,17.7502,4.07269,-45.1602
2,17.7116,4.05199,-45.1325
2,17.7481,4.05401,-45.1826
2,17.6996,4.04322,-45.1566
3,0.895484,-1.03182,-45.3652
3,0.875223,-0.991793,-45.3247
3,0.924537,-0.95229,-45.4113
3,0.884392,-0.993272,-45.3573
3,0.876468,-1.01073,-45.3758
3,0.917159,-1.04281,-45.4042
3,0.859983,-0.991334,-45.4039
3,0.843998,-1.00244,-45.3219
3,0.847531,-1.01511,-45.3734
3,0.903321,-1.03906,-45.3684
3,0.959327,-0.942833,-45.4275
3,0.834945,-1.02318,-45.2819
3,0.853308,-0.978655,-45.3762
3,0.859545,-1.01749,-45.3491
3,0.938261,-0.951843,-45.3964
3,0.8906,-1.00119,-45.4085
3,0.86493,-1.02727,-45.3723
3,0.855979,-0.992081,-45.3371
3,0.874947,-0.986561,-45.3626
4,-10.5322,-4.77841,-42.8261
4,-10.6066,-4.83332,-42.801
4,-10.5405,-4.77875,-42.8375
4,-10.5383,-4.82794,-42.8436
4,-10.5766,-4.81282,-42.8192
4,-10.5525,-4.85822,-42.841
4,-10.5445,-4.82593,-42.8472
4,-10.5272,-4.76776,-42.8477
4,-10.5626,-4.77621,-42.8173
4,-10.6034,-4.825,-42.8137
4,-10.5701,-4.8287,-42.824
4,-10.5953,-4.81656,-42.7701
4,-10.6058,-4.8854,-42.7649
4,-10.5697,-4.83939,-42.7981
4,-10.5107,-4.84706,-42.8848
4,-10.5728,-4.81487,-42.8019
4,-10.535,-4.77929,-42.8089
4,-10.5175,-4.84038,-42.8382
4,-10.5597,-4.82893,-42.827
5,-0.329088,-0.490394,-44.2664
5,-0.358983,-0.499461,-44.2523
5,-0.369931,-0.498632,-44.2512
5,-0.376599,-0.570199,-44.243
5,-0.410371,-0.529621,-44.2438
5,-0.314497,-0.552947,-44.2871
5,-0.394644,-0.519221,-44.2029
5,-0.378641,-0.517758,-44.2486
5,-0.372282,-0.539169,-44.2037
5,-0.429368,-0.602703,-44.1792
5,-0.418154,-0.561499,-44.2246
5,-0.377412,-0.553553,-44.2672
5,-0.363075,-0.521101,-44.2662
5,-0.349334,-0.530143,-44.2808
5,-0.415621,-0.508437,-44.2197
5,-0.415921,-0.546175,-44.2035
5,-0.341651,-0.571421,-44.2618
5,-0.399613,-0.542027,-44.2371
5,-0.414913,-0.535947,-44.2148
6,-6.81769,12.0109,-44.6245
6,-6.85457,12.0468,-44.645
6,-6.84323,12.0255,-44.5846
6,-6.73292,12.1261,-44.718
6,-6.79102,12.0786,-44.6416
6,-6.81453,12.0712,-44.663
6,-6.73283,12.0972,-44.736
6,-6.78354,12.0937,-44.6566
6,-6.85862,12.025,-44.6036
6,-6.83889,12.0368,-44.675
6,-6.77064,12.0292,-44.6698
6,-6.87164,12.0099,-44.5916
6,-6.83904,12.0111,-44.6693
6,-6.738,12.0952,-44.7199
6,-6.83265,12.0316,-44.6244
6,-6.85041,12.0396,-44.5997
6,-6.8421,12.0712,-44.5868
6,-6.8435,12.0673,-44.6005
7,0.14498,-0.470322,-44.8303
7,0.15983,-0.488972,-44.8604
7,0.114235,-0.402889,-44.8077
7,0.134964,-0.486575,-44.8044
7,0.123871,-0.484731,-44.8139
7,0.140709,-0.442104,-44.8501
7,0.104162,-0.441538,-44.7923
7,0.144229,-0.449062,-44.8495
7,0.178903,-0.465503,-44.8484
7,0.173016,-0.472543,-44.861
7,0.152486,-0.485092,-44.8465
7,0.140967,-0.444257,-44.8155
7,0.105603,-0.419574,-44.8126
7,0.125868,-0.401813,-44.8076
7,0.188779,-0.459469,-44.8726
7,0.12118,-0.463358,-44.804
7,0.162403,-0.468589,-44.875
7,0.224674,-0.474155,-44.9074
7,0.189605,-0.387031,-44.8856
8,-12.3262,-0.841152,-45.3037
8,-12.3679,-0.803027,-45.3275
8,-12.3039,-0.766322,-45.34
8,-12.3652,-0.771876,-45.2488
8,-12.3581,-0.79783,-45.3213
8,-12.3672,-0.777362,-45.3354
8,-12.3243,-0.765167,-45.3794
8,-12.3985,-0.850807,-45.2806
8,-12.3133,-0.814727,-45.3373
8,-12.3715,-0.792187,-45.2948
8,-12.3338,-0.839174,-45.3356
8,-12.3516,-0.806015,-45.2922
8,-12.355,-0.78191,-45.3197
8,-12.3809,-0.840423,-45.3079
8,-12.3918,-0.802641,-45.2741
8,-12.3799,-0.799551,-45.3095
8,-12.4099,-0.820865,-45.2456
8,-12.363,-0.833368,-45.2919
9,0.354701,-1.41017,-45.4293
9,0.435764,-1.37195,-45.4788
9,0.332698,-1.39042,-45.3868
9,0.389043,-1.38979,-45.4819
9,0.33271,-1.42061,-45.391
9,0.405542,-1.3905,-45.4787
9,0.425629,-1.44308,-45.4447
9,0.404624,-1.39587,-45.4609
9,0.423313,-1.36437,-45.4531
9,0.388237,-1.41456,-45.4345
9,0.397789,-1.40597,-45.4754
9,0.37861,-1.47038,-45.4255
9,0.3599,-1.3929,-45.4033
9,0.383335,-1.43616,-45.4606
9,0.49677,-1.35302,-45.4955
9,0.308278,-1.44177,-45.3846
9,0.423472,-1.41442,-45.4904
9,0.423752,-1.40527,-45.5153
9,0.386293,-1.48358,-45.4468
10,0.415843,-1.39581,-45.4786
10,0.419059,-1.43206,-45.4479
10,0.383189,-1.38908,-45.4654
10,0.423775,-1.37445,-45.4797
10,0.367596,-1.42417,-45.4226
10,0.375198,-1.40713,-45.4382
10,0.37759,-1.52543,-45.4063
10,0.406263,-1.42328,-45.4884
10,0.466375,-1.34472,-45.4983
10,0.413898,-1.35679,-45.472
10,0.453504,-1.35598,-45.5025
10,0.38316,-1.39471,-45.3982
10,0.35045,-1.42761,-45.427
10,0.411469,-1.47671,-45.4296
10,0.370308,-1.4131,-45.4602
10,0.357686,-1.40109,-45.4267
10,0.39491,-1.43489,-45.4592
10,0.39741,-1.36296,-45.4324
10,0.383599,-1.49097,-45.4565
11,0.405482,-1.37063,-45.4366
11,0.40601,-1.39274,-45.4771
11,0.408307,-1.41385,-45.4725
11,0.447306,-1.42949,-45.4662
11,0.407945,-1.44401,-45.4819
11,0.443001,-1.39759,-45.4599
11,0.376876,-1.43791,-45.4253
11,0.345319,-1.4331,-45.4052
11,0.394267,-1.45264,-45.4793
11,0.386616,-1.41039,-45.4146
11,0.384209,-1.48049,-45.4443
11,0.404668,-1.42495,-45.4469
11,0.410055,-1.38187,-45.5128
11,0.329052,-1.44499,-45.4251
11,0.388088,-1.40232,-45.4451
11,0.378627,-1.45414,-45.4303
11,0.351332,-1.46691,-45.4051
11,0.402991,-1.36858,-45.4813
11,0.41716,-1.44438,-45.4352
12,-6.15259,8.11439,-42.5099
12,-6.09907,8.09169,-42.5469
12,-6.25614,8.07526,-42.4257
12,-6.16091,8.06822,-42.4804
12,-6.21947,7.98554,-42.4189
12,-6.26156,8.06218,-42.4304
12,-6.13365,8.06013,-42.522
12,-6.1729,8.06433,-42.4743
12,-6.19293,8.04723,-42.4341
12,-6.14034,8.05396,-42.4935
12,-6.12015,8.02231,-42.5164
12,-6.18433,8.01998,-42.4678
12,-6.1049,8.05067,-42.527
12,-6.25706,8.06226,-42.4242
12,-6.19363,8.09045,-42.4431
12,-6.28219,7.98681,-42.4114
12,-6.10627,8.06102,-42.5902
12,-6.22076,8.03695,-42.4774
12,-6.20453,8.07616,-42.4259
13,0.934134,2.30317,-43.1857
13,0.898754,2.26409,-43.1881
13,0.964286,2.28751,-43.182
13,0.940682,2.2225,-43.1868
13,0.906845,2.25731,-43.1907
13,0.952836,2.30016,-43.222
13,0.908077,2.29198,-43.2015
13,0.977331,2.30765,-43.2356
13,0.958951,2.3372,-43.212
13,0.908469,2.30787,-43.1712
13,0.875763,2.28482,-43.1322
13,0.92879,2.23817,-43.2008
13,0.859537,2.26263,-43.1404
13,0.962397,2.22162,-43.1875
13,0.932943,2.29382,-43.1991
13,0.983348,2.33591,-43.22
13,0.967167,2.29659,-43.2431
13,0.849498,2.22643,-43.1176
13,0.904994,2.31129,-43.1614
14,-0.914683,-25.759,-27.3583
14,-0.920704,-25.8683,-27.3191
14,-0.88205,-25.8091,-27.3689
14,-0.95435,-25.8083,-27.332
14,-0.893214,-25.756,-27.3845
14,-0.83406,-25.7888,-27.4367
14,-0.878281,-25.7546,-27.4184
14,-0.913535,-25.8003,-27.3621
14,-0.929359,-25.8225,-27.338
14,-0.934534,-25.7541,-27.3293
14,-0.965307,-25.798,-27.3048
14,-0.911491,-25.8185,-27.3528
14,-0.920274,-25.8188,-27.3188
14,-0.909506,-25.7937,-27.3471
14,-0.877081,-25.8012,-27.3925
14,-0.944187,-25.8163,-27.3419
14,-0.915451,-25.8403,-27.3077
14,-0.901821,-25.8097,-27.3321
14,-0.913895,-25.8019,-27.3417
15,2.31758,1.09408,-41.9917
15,2.45331,1.18523,-42.1282
15,2.36868,1.08555,-42.076
15,2.38283,1.11379,-42.0477
15,2.35562,1.13678,-42.0392
15,2.36373,1.07919,-42.0427
15,2.37353,1.06781,-42.0576
15,2.33412,1.11702,-42.0305
15,2.35018,1.13723,-42.0353
15,2.34195,1.06355,-42.0161
15,2.33792,1.03587,-42.0087
15,2.38321,1.08257,-42.044
15,2.37372,1.12336,-42.0522
15,2.3134,1.00396,-42.0195
15,2.33005,1.12118,-42.0284
15,2.43876,1.18098,-42.1073
15,2.31647,1.12395,-42.0246
15,2.32531,1.11131,-42.0218
15,2.30587,1.10004,-42.0132
16,-1.21099,17.0402,-42.0559
16,-1.31421,16.9582,-42.0195
16,-1.28179,16.9712,-42.0614
16,-1.29766,16.9475,-42.0528
16,-1.27153,17.0252,-42.0908
16,-1.22129,16.976,-42.0743
16,-1.30523,16.9506,-42.028
16,-1.28075,17.0127,-42.0406
16,-1.22185,16.97,-42.0968
16,-1.34629,16.8741,-42.0167
16,-1.30885,16.9659,-42.0309
16,-1.23031,16.9813,-42.0694
16,-1.29696,16.9754,-41.9713
16,-1.21847,16.9884,-42.1293
16,-1.23986,16.9954,-42.0399
16,-1.2368,16.9548,-42.1302
16,-1.25642,16.9905,-42.0465
16,-1.306,16.9814,-41.9915
16,-1.27812,16.9951,-42.0394
17,1.28729,1.78671,-43.4849
17,1.26861,1.794,-43.4796
17,1.21458,1.78379,-43.4139
17,1.26155,1.82426,-43.3982
17,1.26136,1.83665,-43.4571
17,1.30388,1.7632,-43.4682
17,1.31239,1.79923,-43.5151
17,1.37877,1.79241,-43.5487
17,1.18024,1.7786,-43.3966
17,1.27953,1.79116,-43.4809
17,1.24215,1.75652,-43.495
17,1.23737,1.72781,-43.4451
17,1.24404,1.79318,-43.4632
17,1.26366,1.73456,-43.435
17,1.23474,1.78046,-43.4802
17,1.23815,1.72228,-43.433
17,1.28426,1.8104,-43.4773
17,1.22074,1.7694,-43.397
17,1.25628,1.7645,-43.4783
18,3.12112,-19.8946,-41.0119
18,3.14297,-19.8897,-41.0502
18,3.10846,-19.8934,-41.0532
18,3.10206,-19.9315,-40.966
18,3.12602,-19.9152,-40.9991
18,3.19105,-19.9446,-41.0465
18,3.0961,-19.8852,-40.9758
18,3.15143,-19.9213,-41.0114
18,3.11179,-19.8872,-41.0297
18,3.18121,-19.8741,-41.0668
18,3.20711,-19.8483,-41.0672
18,3.09528,-19.9652,-40.9652
18,3.19191,-19.902,-41.0123
18,3.16037,-19.9125,-41.0634
18,3.16628,-19.8763,-41.0547
18,3.17303,-19.9404,-41.0446
18,3.18137,-19.9165,-41.0411
18,3.19711,-19.8576,-41.073
18,3.16017,-19.9389,-40.9772
19,1.39162,-1.63716,-44.9704
19,1.40312,-1.61275,-44.9687
19,1.44882,-1.6043,-44.9789
19,1.44934,-1.60432,-44.9899
19,1.43151,-1.63259,-44.9768
19,1.39403,-1.62251,-44.9434
19,1.4414,-1.64376,-44.9031
19,1.4916,-1.63601,-45.0124
19,1.42478,-1.61473,-45.0008
19,1.40967,-1.61059,-44.9613
19,1.35386,-1.61043,-44.9351
19,1.54466,-1.59196,-45.1328
19,1.40368,-1.6359,-44.9582
19,1.39097,-1.6212,-44.9826
19,1.39442,-1.62029,-44.9879
19,1.39178,-1.63903,-44.9644
19,1.46242,-1.54923,-45.0391
19,1.39827,-1.60552,-44.9146
19,1.37613,-1.71496,-44.8952
20,5.11164,7.6519,-47.4636
20,5.08567,7.74378,-47.4514
20,5.1267,7.7522,-47.4266
20,5.15193,7.75776,-47.4968
20,5.11432,7.70006,-47.4108
20,5.09431,7.68962,-47.4429
20,5.11253,7.69451,-47.4534
20,5.12521,7.64749,-47.4332
20,5.13339,7.71157,-47.4453
20,5.06021,7.69579,-47.3813
20,5.08382,7.70201,-47.4389
20,5.07442,7.68701,-47.3907
20,5.14121,7.69764,-47.4562
20,5.12186,7.71329,-47.4472
20,5.07646,7.7255,-47.3962
20,5.13089,7.78026,-47.4403
20,5.09093,7.64468,-47.3949
20,5.1395,7.76432,-47.4639
20,5.07618,7.69229,-47.4173
21,0.977505,-0.631504,-45.2052
21,0.964484,-0.630216,-45.2398
21,0.887293,-0.69527,-45.1176
21,0.917809,-0.666956,-45.1631
21,1.0006,-0.637961,-45.198
21,0.912853,-0.6412,-45.1536
21,0.924408,-0.65283,-45.1527
21,0.964672,-0.69072,-45.1609
21,0.94915,-0.655983,-45.1872
21,0.844772,-0.655183,-45.1126
21,0.933637,-0.695988,-45.1981
21,0.92088,-0.677785,-45.1537
21,0.942768,-0.679236,-45.1944
21,0.939924,-0.596757,-45.1793
21,0.994639,-0.654637,-45.2285
21,0.973821,-0.657722,-45.2193
21,0.938035,-0.655496,-45.1821
21,0.915239,-0.667153,-45.1905
21,0.91908,-0.688555,-45.152
22,15.7083,10.1526,-40.6084
22,15.7693,10.1927,-40.6743
22,15.7873,10.1704,-40.6455
22,15.7602,10.155,-40.6194
22,15.7469,10.1895,-40.6494
22,15.6998,10.0877,-40.5968
22,15.6947,10.1239,-40.6408
22,15.6785,10.1039,-40.575
22,15.6879,10.0563,-40.59
22,15.7494,10.1406,-40.6291
22,15.6423,10.0823,-40.5301
22,15.7054,10.0569,-40.6246
22,15.7415,10.1271,-40.6023
22,15.6722,10.1214,-40.5801
22,15.7384,10.1827,-40.6432
22,15.7366,10.0895,-40.6246
22,15.6472,10.1106,-40.5717
22,15.7459,10.1091,-40.6171
22,15.7316,10.1418,-40.6104
23,2.93074,0.703135,-43.6507
23,3.00645,0.772865,-43.729
23,2.97382,0.703954,-43.6881
23,2.9686,0.731436,-43.6668
23,2.94749,0.736938,-43.6907
23,2.97966,0.686462,-43.6564
23,2.93337,0.724139,-43.6674
23,3.00718,0.73604,-43.6968
23,2.95839,0.727595,-43.6615
23,2.97653,0.721643,-43.7163
23,2.97699,0.713582,-43.6497
23,3.01751,0.761969,-43.7283
23,3.00171,0.784746,-43.6945
23,2.95843,0.706679,-43.6513
23,2.92504,0.680147,-43.6397
23,3.02889,0.721409,-43.7071
23,2.97679,0.719812,-43.6714
23,3.00544,0.723349,-43.7208
23,3.00147,0.757558,-43.6433
24,-20.6269,0.925317,-39.2143
24,-20.7029,0.918796,-39.1263
24,-20.7094,0.923483,-39.1442
24,-20.7635,0.930865,-39.1061
24,-20.6832,0.925653,-39.1615
24,-20.6762,0.907965,-39.1546
24,-20.6943,0.940992,-39.1342
24,-20.6783,0.920143,-39.1342
24,-20.6407,0.909005,-39.2346
24,-20.7537,0.899222,-39.0849
24,-20.6574,0.930358,-39.1799
24,-20.6675,0.885158,-39.1782
24,-20.7066,0.91902,-39.1384
24,-20.7541,0.921924,-39.0866
24,-20.6922,0.950608,-39.1634
24,-20.7107,0.893591,-39.1181
24,-20.6961,0.881675,-39.118
24,-20.6312,0.915169,-39.1825
24,-20.7933,0.92673,-39.0323
25,-0.268499,-1.11727,-44.3675
25,-0.234953,-1.0732,-44.3904
25,-0.209059,-0.989781,-44.4479
25,-0.251696,-1.05085,-44.382
25,-0.10712,-1.01863,-44.4965
25,-0.16936,-1.08485,-44.4689
25,-0.178721,-1.08845,-44.4351
25,-0.187517,-1.03679,-44.4397
25,-0.238832,-1.06648,-44.415
25,-0.17749,-1.04754,-44.424
25,-0.157184,-1.05875,-44.446
25,-0.181912,-1.03269,-44.4166
25,-0.24292,-1.0809,-44.402
25,-0.191039,-1.04268,-44.4554
25,-0.227506,-1.05243,-44.4186
25,-0.196882,-1.09183,-44.4236
25,-0.26136,-1.06777,-44.3645
25,-0.282814,-1.05928,-44.3759
25,-0.242331,-1.06026,-44.399
26,-3.75258,-0.640273,-39.3299
26,-3.7713,-0.617518,-39.3082
26,-3.72242,-0.668774,-39.3946
26,-3.7551,-0.693601,-39.3376
26,-3.73446,-0.675894,-39.371
26,-3.7905,-0.670535,-39.3096
26,-3.81185,-0.672626,-39.2913
26,-3.76137,-0.685388,-39.3392
26,-3.76806,-0.694036,-39.3371
26,-3.84362,-0.720567,-39.2411
26,-3.78689,-0.675572,-39.2915
26,-3.7772,-0.697921,-39.3399
26,-3.74119,-0.629108,-39.3807
26,-3.8519,-0.643379,-39.3056
26,-3.77331,-0.663218,-39.3457
26,-3.81873,-0.650371,-39.2937
26,-3.81188,-0.642333,-39.2913
26,-3.84921,-0.66638,-39.2765
26,-3.73835,-0.607907,-39.3724
27,1.65725,3.852,-41.5215
27,1.55924,3.82133,-41.396
27,1.60318,3.71035,-41.5252
27,1.62714,3.77763,-41.4768
27,1.60997,3.74483,-41.4684
27,1.556,3.82951,-41.4126
27,1.57488,3.78557,-41.4797
27,1.72306,3.81581,-41.5702
27,1.69687,3.8562,-41.5572
27,1.66122,3.88087,-41.5277
27,1.62088,3.76941,-41.4879
27,1.65361,3.79118,-41.4916
27,1.69021,3.79285,-41.5565
27,1.60916,3.80359,-41.5066
27,1.62319,3.80016,-41.4926
27,1.6318,3.86482,-41.492
27,1.69391,3.85754,-41.5381
27,1.61319,3.79407,-41.4849
27,1.53537,3.77312,-41.4054
28,12.8072,6.00979,-40.7241
28,12.8847,6.05758,-40.8359
28,12.7972,6.03343,-40.7388
28,12.8662,6.0395,-40.7704
28,12.7901,5.99191,-40.7487
28,12.8267,6.07093,-40.7336
28,12.7821,6.04598,-40.7578
28,12.8973,6.06953,-40.8141
28,12.8258,6.01688,-40.7354
28,12.854,6.09369,-40.8029
28,12.8727,6.10878,-40.7376
28,12.7787,5.97291,-40.733
28,12.8869,6.03407,-40.8009
28,12.8042,6.0596,-40.7293
28,12.8177,6.03898,-40.7219
28,12.8255,6.07956,-40.6954
28,12.8196,6.11226,-40.7149
28,12.8465,6.01812,-40.7588
28,12.8013,6.02197,-40.6911
29,2.52335,1.10999,-42.9229
29,2.59076,1.13231,-43.0018
29,2.62613,1.14865,-43.0276
29,2.5568,1.09245,-42.9558
29,2.58228,1.048,-42.9673
29,2.49778,1.04177,-42.8958
29,2.52466,1.06849,-42.9609
29,2.51415,1.09382,-42.916
29,2.54513,1.1381,-43.014
29,2.55964,1.05906,-42.942
29,2.5743,1.07082,-42.9747
29,2.57113,1.08043,-42.9766
29,2.58097,1.10415,-42.9989
29,2.58345,1.11881,-42.9501
29,2.6534,1.11131,-43.0443
29,2.57257,1.08855,-42.9914
29,2.62516,1.09224,-43.034
29,2.60002,1.1077,-43.0214
29,2.62831,1.14962,-43.0181
30,21.0463,-17.9377,-31.562
30,21.0064,-17.9771,-31.5234
30,20.9276,-17.9953,-31.4501
30,21.0273,-17.9691,-31.5243
30,20.9952,-17.929,-31.5038
30,21.0179,-17.9495,-31.501
30,20.9955,-17.9809,-31.5097
30,21.0181,-17.9854,-31.5508
30,20.9617,-17.9596,-31.499
30,20.9887,-17.9303,-31.5009
30,20.929,-17.9903,-31.439
30,21.0411,-17.9448,-31.5375
30,20.9803,-17.9422,-31.5231
30,21.0543,-17.9301,-31.5958
30,21.0346,-17.9468,-31.5504
30,21.013,-17.9701,-31.5337
30,20.9642,-17.9929,-31.4921
30,21.0461,-17.9483,-31.5626
