index,x,y,z
1,5.70223,0.347629,-44.7248
1,5.68842,0.342717,-44.6956
1,5.66222,0.381412,-44.689
1,5.67392,0.364818,-44.7084
1,5.73275,0.317368,-44.6845
1,5.69692,0.355436,-44.6698
1,5.74268,0.362111,-44.7055
1,5.73035,0.356868,-44.6906
1,5.71405,0.350751,-44.6917
1,5.69148,0.341223,-44.6969
1,5.70425,0.332481,-44.661
1,5.70822,0.363163,-44.7021
1,5.734,0.334477,-44.6796
1,5.70581,0.355048,-44.7507
1,5.6955,0.35187,-44.6659
1,5.66722,0.291866,-44.6924
1,5.67088,0.354594,-44.6644
1,5.66068,0.361264,-44.7055
2,5.67856,0.29337,-44.6969
2,5.69464,0.350693,-44.726
2,5.68811,0.357165,-44.6877
2,5.66884,0.381919,-44.6931
2,5.6735,0.373935,-44.6972
2,5.67893,0.328948,-44.7143
2,5.71409,0.337889,-44.7116
2,5.70539,0.326976,-44.6838
2,5.66234,0.358315,-44.6794
2,5.68725,0.314451,-44.7181
2,5.65814,0.36919,-44.6939
2,5.69508,0.331116,-44.7268
2,5.68813,0.313281,-44.693
2,5.73856,0.29751,-44.6907
2,5.68996,0.37051,-44.6758
2,5.72382,0.371161,-44.6932
2,5.70421,0.341494,-44.7208
2,5.70352,0.3385,-44.6711
2,5.68733,0.337273,-44.7474
3,14.0238,8.45945,-39.6836
3,14.02,8.50266,-39.6859
3,14.0078,8.50437,-39.7116
3,14.0093,8.48379,-39.7411
3,14.0109,8.41902,-39.7212
3,14.0414,8.52828,-39.731
3,14.0646,8.44221,-39.73
3,13.988,8.4314,-39.7249
3,14.0473,8.4642,-39.7327
3,14.0224,8.51117,-39.6676
3,14.0437,8.4654,-39.697
3,14.029,8.46168,-39.6928
3,14.0272,8.43913,-39.718
3,14.027,8.49407,-39.7201
3,14.0521,8.50707,-39.7223
3,14.0382,8.49936,-39.7037
3,14.0666,8.47267,-39.7478
3,14.0317,8.44721,-39.7385
3,14.0611,8.50743,-39.6821
4,14.0084,8.46204,-39.7201
4,14.0433,8.49272,-39.7116
4,13.9883,8.4836,-39.6858
4,14.036,8.46824,-39.7463
4,14.043,8.46495,-39.7033
4,14.0218,8.47298,-39.7164
4,14.0248,8.48198,-39.692
4,14.0647,8.47937,-39.7
4,14.0292,8.50367,-39.7103
4,14.0071,8.447,-39.7262
4,14.02,8.50926,-39.6823
4,14.0184,8.51638,-39.6775
4,14.0032,8.4727,-39.7192
4,14.0411,8.49565,-39.7141
4,14.0807,8.49494,-39.7206
4,14.0717,8.47487,-39.7458
4,14.0317,8.49529,-39.7383
4,14.016,8.48436,-39.7144
4,14.0167,8.50142,-39.7089
5,9.40408,-20.7075,-38.1689
5,9.39468,-20.7485,-38.1034
5,9.39381,-20.7258,-38.0776
5,9.4252,-20.7727,-38.0575
5,9.39113,-20.7912,-38.0311
5,9.40775,-20.7789,-38.0595
5,9.42085,-20.7264,-38.0501
5,9.35389,-20.7717,-38.0996
5,9.41352,-20.774,-38.144
5,9.43121,-20.8019,-38.0976
5,9.39682,-20.7951,-38.0831
5,9.39899,-20.7674,-38.0948
5,9.4183,-20.7834,-38.0923
5,9.43055,-20.7871,-38.0818
5,9.39898,-20.7415,-38.1497
5,9.4256,-20.7874,-38.0567
5,9.45228,-20.7644,-38.0873
5,9.42384,-20.7828,-38.0975
5,9.37381,-20.7621,-38.0841
6,13.8664,20.1396,-34.7787
6,13.8728,20.1723,-34.7976
6,13.908,20.1734,-34.8263
6,13.847,20.1792,-34.804
6,13.8792,20.1485,-34.7852
6,13.8784,20.1605,-34.7634
6,13.8405,20.1808,-34.7621
6,13.8366,20.1736,-34.7719
6,13.8901,20.1495,-34.7853
6,13.8399,20.1998,-34.7921
6,13.846,20.1805,-34.7653
6,13.8548,20.1251,-34.8002
6,13.8477,20.1939,-34.774
6,13.8584,20.1726,-34.8001
6,13.8559,20.1354,-34.751
6,13.8862,20.1398,-34.8017
6,13.8362,20.168,-34.7998
6,13.8728,20.1989,-34.788
6,13.8452,20.1544,-34.7573
7,13.8576,20.2271,-34.8363
7,13.8511,20.1386,-34.7703
7,13.8573,20.1643,-34.7504
7,13.8351,20.191,-34.7563
7,13.8528,20.1822,-34.7853
7,13.8952,20.1874,-34.7714
7,13.8581,20.1834,-34.7702
7,13.8875,20.1519,-34.7976
7,13.8117,20.1696,-34.8057
7,13.8508,20.1773,-34.7643
7,13.8512,20.1589,-34.7946
7,13.8337,20.1573,-34.8173
7,13.8522,20.1788,-34.7731
7,13.8735,20.1939,-34.7717
7,13.8659,20.188,-34.7742
7,13.8549,20.1708,-34.7476
7,13.8781,20.1943,-34.8201
7,13.8572,20.1289,-34.8022
