index,x,y,z
1,1.30425,12.1942,-43.1794
1,1.50057,12.1221,-43.2713
1,1.37164,12.0538,-43.2118
1,1.31734,12.09,-43.2484
1,1.39428,12.1657,-43.2792
1,1.13924,12.1138,-43.3635
1,1.35645,12.1041,-43.2233
1,1.32607,12.1673,-43.2535
1,1.24455,12.075,-43.2431
1,1.35942,12.1059,-43.3598
1,1.46658,12.1352,-43.3454
1,1.27429,12.0407,-43.373
1,1.36192,12.1854,-43.1793
1,1.37947,12.1125,-43.2473
1,1.36768,12.1794,-43.2372
1,1.29396,12.0814,-43.1917
1,1.46687,12.1602,-43.221
1,1.21687,12.0774,-43.3066
2,-1.87432,1.9889,-45.8085
2,-1.84983,1.84136,-45.8794
2,-1.72547,1.91551,-45.8483
2,-1.71089,1.93126,-45.877
2,-1.84092,2.02896,-45.7711
2,-1.75216,1.91189,-45.715
2,-1.82971,1.97172,-45.7761
2,-1.8309,1.89373,-45.8323
2,-1.90474,1.88724,-45.8745
2,-1.65957,1.98356,-45.8156
2,-1.93745,1.94756,-45.9189
2,-1.78506,2.00121,-45.7963
2,-1.89103,1.78622,-45.9257
2,-1.81842,1.97022,-45.8215
2,-1.77032,1.84091,-45.8524
2,-1.83762,1.93111,-45.8208
2,-1.77675,2.10876,-45.7855
2,-1.83557,1.96669,-45.9251
2,-1.85,2.00052,-45.71
3,4.16346,5.11542,-47.203
3,4.0481,5.08584,-47.1684
3,4.05282,5.00868,-47.046
3,4.03259,5.08564,-47.1193
3,4.17568,5.12573,-47.0454
3,4.21214,5.19977,-46.9904
3,4.18823,5.22244,-47.0856
3,4.30197,5.13327,-47.0961
3,4.12678,5.07169,-47.1717
3,4.11127,5.13368,-47.1607
3,4.10858,5.03051,-46.9954
3,4.26847,5.17339,-47.0865
3,4.10793,5.05391,-47.134
3,4.23251,5.22891,-47.05
3,4.20912,5.03693,-47.2047
3,3.95055,5.06807,-47.1652
3,4.11442,5.01304,-47.0542
3,3.95756,5.07028,-47.1012
3,4.08699,5.03517,-47.0316
4,8.48685,1.74463,-46.492
4,8.33121,1.54639,-46.5457
4,8.35044,1.53072,-46.5759
4,8.44132,1.6596,-46.5292
4,8.37115,1.68438,-46.5797
4,8.21778,1.71056,-46.5114
4,8.38563,1.68491,-46.5079
4,8.3408,1.7054,-46.5465
4,8.25313,1.68227,-46.5697
4,8.31983,1.6268,-46.5792
4,8.38994,1.65664,-46.67
4,8.19231,1.64552,-46.6381
4,8.39423,1.6969,-46.591
4,8.28809,1.61606,-46.6903
4,8.32894,1.54154,-46.6191
4,8.40308,1.6665,-46.589
4,8.41706,1.60293,-46.5383
4,8.36151,1.63616,-46.5111
4,8.26622,1.54176,-46.6765
5,8.33497,-6.9594,-45.3359
5,8.40101,-6.9048,-45.251
5,8.43554,-6.85056,-45.2159
5,8.50192,-6.85026,-45.1809
5,8.49965,-6.77885,-45.1079
5,8.42494,-6.8657,-45.255
5,8.48608,-6.91171,-45.2476
5,8.45095,-6.98327,-45.2042
5,8.4178,-6.73828,-45.3178
5,8.44803,-6.80022,-45.2664
5,8.35842,-6.98698,-45.2767
5,8.43049,-6.97044,-45.3049
5,8.46943,-6.89416,-45.3283
5,8.40662,-6.80622,-45.177
5,8.28949,-6.97573,-45.2937
5,8.52127,-6.95055,-45.3217
5,8.56544,-6.97068,-45.2518
5,8.35305,-6.82906,-45.31
5,8.3461,-6.88434,-45.3297
6,7.35776,-10.7625,-44.3047
6,7.38237,-10.9006,-44.2566
6,7.42631,-10.8225,-44.3103
6,7.52412,-10.7157,-44.3161
6,7.42319,-10.6545,-44.1587
6,7.33247,-10.8408,-44.2528
6,7.47118,-10.8157,-44.1644
6,7.53851,-10.7323,-44.1544
6,7.41671,-10.7573,-44.1612
6,7.39469,-10.8003,-44.1931
6,7.36589,-10.7958,-44.2777
6,7.40609,-10.7516,-44.2659
6,7.40298,-10.9019,-44.2536
6,7.44915,-10.7594,-44.2752
6,7.39032,-10.9105,-44.2758
6,7.30399,-10.9477,-44.361
6,7.50056,-10.7104,-44.3263
6,7.48072,-10.8717,-44.2923
6,7.56805,-10.8819,-44.1739
7,7.5814,-0.124898,-47.1056
7,7.68661,-0.124454,-47.0486
7,7.69415,-0.0852506,-47.0541
7,7.62374,-0.0974105,-47.1261
7,7.6168,-0.123062,-47.0903
7,7.49749,-0.00863771,-47.1481
7,7.61712,-0.171132,-47.1891
7,7.58066,-0.0644162,-47.1395
7,7.51359,-0.249493,-47.1219
7,7.72003,0.0294322,-47.0857
7,7.49911,-0.0917645,-47.1948
7,7.68165,-0.135014,-46.9646
7,7.53484,-0.220549,-47.283
7,7.76464,-0.0391713,-47.0044
7,7.60358,-0.197222,-47.1287
7,7.58463,-0.0343692,-47.0742
7,7.83581,-0.0421012,-47.0975
7,7.63895,-0.011711,-47.1242
7,7.61067,-0.10869,-47.1633
8,-2.42083,4.38013,-44.0289
8,-2.58571,4.45113,-44.023
8,-2.67641,4.5473,-44.0257
8,-2.59406,4.52855,-44.1747
8,-2.58898,4.41868,-44.0069
8,-2.56289,4.48407,-43.9955
8,-2.61128,4.44148,-44.0679
8,-2.76191,4.42416,-43.9904
8,-2.54035,4.58575,-44.1067
8,-2.55386,4.5507,-44.0531
8,-2.61704,4.40791,-44.0465
8,-2.56431,4.40178,-43.938
8,-2.47994,4.44011,-44.1058
8,-2.62913,4.50197,-44.0842
8,-2.65439,4.47903,-44.0939
8,-2.63606,4.50959,-44.0972
8,-2.66783,4.43048,-44.0873
8,-2.70207,4.45478,-44.0639
8,-2.47073,4.52826,-44.0548
9,9.43716,12.0584,-40.6613
9,9.48779,12.292,-40.5549
9,9.39292,12.2591,-40.6656
9,9.45376,12.2699,-40.5704
9,9.56098,12.2351,-40.5843
9,9.58509,12.174,-40.5503
9,9.48028,12.2706,-40.5703
9,9.58528,12.299,-40.5731
9,9.52686,12.1379,-40.5098
9,9.38335,12.3265,-40.4561
9,9.51823,12.1405,-40.7022
9,9.50374,12.2696,-40.6215
9,9.55438,12.1792,-40.6406
9,9.44702,12.1059,-40.5923
9,9.49455,12.2277,-40.5135
9,9.42092,12.2072,-40.5295
9,9.33982,12.3182,-40.5206
9,9.56518,12.2966,-40.5416
9,9.47875,12.2219,-40.5827
10,21.2091,-10.18,-34.2189
10,21.2097,-10.2483,-34.1841
10,21.203,-10.0836,-34.2238
10,21.135,-10.198,-34.2693
10,21.3678,-10.0898,-34.1822
10,21.3071,-10.169,-34.2176
10,21.2775,-10.2359,-34.2833
10,21.1788,-10.0568,-34.3293
10,21.3041,-10.2079,-34.1839
10,21.261,-10.1753,-34.1999
10,21.1778,-10.2872,-34.288
10,21.2834,-10.1942,-34.1595
10,21.2462,-10.0915,-34.1634
10,21.2986,-10.1825,-34.2871
10,21.3085,-10.1275,-34.2627
10,21.2923,-10.3002,-34.2783
10,21.1728,-10.2645,-34.2742
10,21.2902,-10.1767,-34.25
10,21.3172,-10.1487,-34.2014
11,18.7908,9.17219,-38.7464
11,18.6615,9.10542,-38.7737
11,18.6784,9.09208,-38.8704
11,18.7516,9.07661,-38.8426
11,18.6891,9.17526,-38.8651
11,18.73,9.13436,-38.8617
11,18.5853,9.01865,-38.9449
11,18.6477,9.12911,-38.7933
11,18.6719,9.09356,-38.904
11,18.7674,9.10741,-38.852
11,18.6922,9.11941,-38.8257
11,18.5742,9.20018,-38.755
11,18.8209,9.10931,-38.8568
11,18.6795,9.14675,-38.8119
11,18.6199,9.20803,-38.8963
11,18.6901,9.12761,-38.8564
11,18.6033,9.12612,-38.8743
11,18.6445,9.1264,-38.7885
