序号, x, y, z, rx, ry, rz, pf_x, pf_y, pf_z 
1,0.3,-0.45,0.45,-3.141592654,-0.733038286,-1.570796327,-0.96,1.94,-39.59
2,0.282802,-0.480258,0.262796,-3.120858142,-0.711849989,-1.564338609,-0.96,1.94,-39.59
3,0.282802,-0.480258,0.219773,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
4,0.282802,-0.480258,0.186908,-3.120613796,-0.713316065,-1.564722581,-0.96,1.94,-39.59
5,0.282802,-0.480258,0.186908,-3.120613796,-0.713316065,-1.564722581,10,0,-32.5
6,0.282802,-0.480258,0.186908,-3.120613796,-0.713316065,-1.564722581,-0.96,1.94,-39.59
7,0.282802,-0.480258,0.209494,-3.120613796,-0.713316065,-1.564722581,-0.96,1.94,-39.59
8,0.282802,-0.480258,0.209494,-3.120613796,-0.713316065,-1.564722581,-0.1,22,-30.8
9,0.282802,-0.480258,0.209494,-3.120613796,-0.713316065,-1.564722581,-0.96,1.94,-39.59
10,0.282802,-0.480258,0.174569,-3.120613796,-0.713316065,-1.564722581,-0.96,1.94,-39.59
11,0.282802,-0.480258,0.174569,-3.120613796,-0.713316065,-1.564722581,-16.8,-4.2,-34
12,0.282802,-0.480258,0.174569,-3.120613796,-0.713316065,-1.564722581,-0.96,1.94,-39.59
13,0.282802,-0.480258,0.219773,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
14,0.282802,-0.480258,0.262796,-3.120858142,-0.711849989,-1.564338609,-0.96,1.94,-39.59
15,0.3,-0.45,0.45,-3.141592654,-0.733038286,-1.570796327,-0.96,1.94,-39.59
