header.stamp,header.frame_id,cr7_pos,cr7_force,cr7_vel,topic
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=527670024)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=527843250)",,[ 0.01632626 -0.80493415  0.37882648 -2.98866647 -0.69388726 -1.60693675],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=537990910)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=538026062)",,[ 0.01632545 -0.804933    0.37882848 -2.98866599 -0.69389069 -1.60693706],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=548168352)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=548202573)",,[ 0.01632554 -0.80494316  0.37883478 -2.98867455 -0.69383012 -1.60693158],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=558336032)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=558387444)",,[ 0.01632661 -0.80494427  0.37883477 -2.98867517 -0.69382578 -1.60693119],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=568533034)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591406, nanosec=568569285)",,[ 0.01632762 -0.80493579  0.37882732 -2.98866648 -0.6938872  -1.60693674],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
