index,x,y,z
2,4.61945,6.38026,-44.2574
2,4.49459,6.3727,-44.1659
2,4.59578,6.34249,-44.2714
2,4.55418,6.26942,-44.2669
2,4.52887,6.29284,-44.2169
2,4.57306,6.38984,-44.3183
2,4.61373,6.32617,-44.3412
2,4.51219,6.36919,-44.2188
2,4.56241,6.30457,-44.2862
2,4.58098,6.31801,-44.25
2,4.59404,6.38735,-44.2383
2,4.61044,6.35495,-44.3326
2,4.5588,6.34422,-44.252
2,4.57081,6.33312,-44.3155
2,4.61209,6.36033,-44.3162
2,4.5371,6.37518,-44.2646
2,4.45822,6.33973,-44.1535
2,4.62456,6.25275,-44.3214
2,4.57446,6.36306,-44.3029
4,3.5189,4.8517,-44.7703
4,3.38695,4.72392,-44.6894
4,3.58191,4.75042,-44.8138
4,3.56443,4.82551,-44.8005
4,3.40474,4.76926,-44.6561
4,3.53056,4.76647,-44.8184
4,3.54012,4.78031,-44.7929
4,3.54074,4.79093,-44.7836
4,3.54887,4.76468,-44.8024
4,3.52262,4.79654,-44.8198
4,3.51135,4.81849,-44.7571
4,3.44593,4.80099,-44.768
4,3.54724,4.82992,-44.8455
4,3.52281,4.84985,-44.9145
4,3.55518,4.83931,-44.8713
4,3.50351,4.8183,-44.7813
4,3.4902,4.79674,-44.7953
4,3.45366,4.80199,-44.743
4,3.5083,4.80836,-44.7906
6,-0.570246,4.06498,-44.9042
6,-0.635385,4.19143,-44.8606
6,-0.619475,4.13429,-44.9194
6,-0.585803,4.10965,-44.875
6,-0.566806,4.13603,-44.9251
6,-0.588045,4.0696,-44.9376
6,-0.614673,4.12521,-44.7931
6,-0.568145,4.08408,-44.9157
6,-0.590573,4.08583,-44.9046
6,-0.582773,4.09618,-44.8348
6,-0.543321,4.15657,-44.9396
6,-0.613672,4.16952,-44.8521
6,-0.58971,4.13246,-44.9366
6,-0.653346,4.03173,-44.8195
6,-0.564493,4.18122,-44.9564
6,-0.634955,4.1714,-44.8325
6,-0.650306,4.07499,-44.8386
6,-0.523402,4.1102,-44.891
8,-6.41128,2.80844,-44.4568
8,-6.35693,2.82135,-44.489
8,-6.44134,2.85389,-44.3737
8,-6.52566,2.87911,-44.3354
8,-6.38306,2.84056,-44.4861
8,-6.43209,2.81329,-44.4192
8,-6.45038,2.83785,-44.3887
8,-6.39556,2.77606,-44.438
8,-6.38216,2.82641,-44.4891
8,-6.31204,2.89156,-44.5605
8,-6.44688,2.79128,-44.4043
8,-6.36174,2.88617,-44.5484
8,-6.48862,2.73833,-44.3312
8,-6.45628,2.90907,-44.4515
8,-6.48158,2.84197,-44.3701
8,-6.43167,2.87522,-44.4368
8,-6.46283,2.81345,-44.3711
8,-6.4495,2.81251,-44.4224
8,-6.42251,2.8791,-44.4047
10,-9.06981,-5.45226,-43.9693
10,-9.14497,-5.51154,-43.851
10,-9.12285,-5.47139,-43.8895
10,-9.09006,-5.48988,-43.9294
10,-9.12257,-5.45147,-43.8753
10,-9.07244,-5.5382,-43.9587
10,-9.116,-5.45981,-43.9497
10,-9.11983,-5.52937,-43.9033
10,-9.03063,-5.49481,-44.0281
10,-9.1305,-5.49519,-43.9048
10,-9.1176,-5.4471,-43.9051
10,-9.00462,-5.40044,-44.0156
10,-9.04195,-5.44863,-43.9855
10,-9.14355,-5.53794,-43.9212
10,-9.14568,-5.47353,-43.9363
10,-9.03082,-5.45813,-43.9895
10,-9.05791,-5.39446,-43.9255
10,-9.02851,-5.43916,-43.9889
10,-9.05255,-5.49349,-43.9447
12,-3.72224,-12.4776,-43.5804
12,-3.69654,-12.5049,-43.5635
12,-3.80594,-12.466,-43.5289
12,-3.69434,-12.4025,-43.5935
12,-3.80086,-12.3857,-43.6196
12,-3.71014,-12.4005,-43.6215
12,-3.7663,-12.4341,-43.5665
12,-3.86151,-12.6003,-43.4906
12,-3.77735,-12.5315,-43.4643
12,-3.82828,-12.5127,-43.4889
12,-3.76831,-12.4471,-43.5509
12,-3.645,-12.4608,-43.6983
12,-3.73936,-12.4277,-43.5491
12,-3.704,-12.519,-43.6208
12,-3.69546,-12.4636,-43.584
12,-3.75662,-12.3845,-43.582
12,-3.81673,-12.4551,-43.4743
12,-3.81095,-12.4857,-43.4851
14,4.20038,-14.6388,-42.3404
14,3.96648,-14.7848,-42.1294
14,4.10811,-14.6157,-42.3042
14,4.04963,-14.792,-42.2163
14,4.10636,-14.6219,-42.3029
14,3.98404,-14.6596,-42.1123
14,4.16633,-14.6249,-42.3301
14,3.98364,-14.5829,-42.24
14,4.08367,-14.6266,-42.2288
14,4.09236,-14.6515,-42.2587
14,4.01599,-14.7237,-42.1945
14,4.06901,-14.7107,-42.2612
14,4.14843,-14.6039,-42.3366
14,4.09835,-14.645,-42.2529
14,4.09469,-14.6762,-42.3254
14,3.97595,-14.6091,-42.1824
14,4.23679,-14.644,-42.4399
14,4.01645,-14.5952,-42.1808
14,4.22795,-14.7495,-42.3894
16,12.1159,-8.95153,-39.7662
16,12.0967,-8.92551,-39.7551
16,12.1236,-9.00643,-39.7641
16,12.1165,-8.91581,-39.7824
16,12.1054,-8.86565,-39.7252
16,12.1277,-8.9373,-39.7828
16,12.0931,-8.98482,-39.7438
16,12.1415,-8.98523,-39.8391
16,12.1485,-8.97922,-39.808
16,12.1423,-8.9989,-39.8234
16,12.0574,-8.96661,-39.7054
16,12.1042,-8.95671,-39.7949
16,12.158,-9.04017,-39.7787
16,12.1262,-8.96258,-39.7747
16,12.0917,-8.92966,-39.7752
16,12.0968,-8.92479,-39.7849
16,12.1512,-8.98398,-39.7955
16,12.0569,-8.95859,-39.7164
16,12.1634,-9.02572,-39.7846
18,11.1069,5.2073,-37.0452
18,10.9047,5.26414,-36.8634
18,11.0244,5.27686,-36.9935
18,11.0829,5.18373,-37.0662
18,10.9797,5.3133,-36.9681
18,11.0435,5.17662,-37.0295
18,10.947,5.18685,-36.9093
18,10.9744,5.1737,-36.9241
18,10.9576,5.14123,-36.8778
18,11.0098,5.22017,-36.9259
18,11.0149,5.23239,-37.0036
18,10.9542,5.21555,-36.8731
18,11.0728,5.2367,-37.0747
18,10.9853,5.19601,-36.9922
18,11.0724,5.30087,-37.0324
18,10.9905,5.29932,-36.9592
18,11.1188,5.23301,-37.0454
18,11.0133,5.27774,-36.926
20,7.8576,8.38603,-39.0209
20,7.98863,8.41007,-39.1332
20,7.98201,8.4322,-39.1852
20,7.94893,8.47493,-39.0659
20,7.92825,8.44702,-39.0534
20,8.0036,8.49605,-39.1362
20,7.8941,8.35234,-39.0574
20,7.87449,8.42718,-38.9979
20,7.94531,8.36533,-39.0817
20,7.94722,8.33297,-39.1115
20,7.89471,8.46773,-39.1076
20,7.929,8.36061,-39.0603
