index,x,y,z
2,6.02859,3.43232,-45.4051
2,5.95565,3.51425,-45.3625
2,6.03766,3.57762,-45.4596
2,5.90639,3.51732,-45.3297
2,6.02284,3.48489,-45.423
2,6.06582,3.52262,-45.4816
2,5.98691,3.49143,-45.3791
2,6.04643,3.45816,-45.401
2,6.03529,3.46913,-45.4059
2,5.96665,3.53425,-45.3413
2,6.02307,3.46506,-45.3694
2,5.93632,3.55262,-45.3004
2,5.97737,3.39886,-45.3535
2,5.91683,3.45558,-45.3131
2,5.94784,3.52223,-45.2685
2,6.04692,3.48864,-45.3862
2,5.99135,3.58341,-45.3384
2,6.04745,3.43105,-45.4
4,3.90902,2.14316,-45.842
4,3.89754,2.05934,-45.84
4,3.95259,2.04267,-45.8734
4,3.86518,2.02556,-45.779
4,3.93224,1.97077,-45.9016
4,3.96349,2.05427,-45.8209
4,3.81886,2.04546,-45.7961
4,3.93361,2.03041,-45.8782
4,3.94964,2.02782,-45.886
4,3.98165,2.0917,-45.9157
4,3.84941,2.03335,-45.7546
4,3.90859,2.11391,-45.8177
4,4.00214,2.15774,-45.9085
4,3.96297,2.00351,-45.8705
4,3.92084,2.07395,-45.8521
4,4.014,2.08465,-45.9226
4,4.01412,2.13125,-45.9388
4,4.03827,2.07257,-45.9281
4,3.972,2.09069,-45.8656
6,-0.866751,3.02693,-45.5715
6,-0.836387,2.90162,-45.4647
6,-0.803956,2.94229,-45.6435
6,-0.828991,2.96235,-45.6451
6,-0.852271,2.92134,-45.6111
6,-0.809775,2.99425,-45.6565
6,-0.839601,2.91454,-45.5553
6,-0.842476,2.9468,-45.5344
6,-0.845342,2.96325,-45.5444
6,-0.771794,2.96898,-45.6225
6,-0.743298,2.94536,-45.6627
6,-0.711475,3.05689,-45.5312
6,-0.834952,2.97813,-45.5269
6,-0.764305,2.97724,-45.5758
6,-0.819884,2.9957,-45.5234
6,-0.805063,3.05556,-45.6015
6,-0.818022,2.97735,-45.5642
6,-0.81701,2.9435,-45.5933
6,-0.754069,2.99245,-45.553
8,-6.41711,2.42318,-44.8365
8,-6.48287,2.32166,-44.8374
8,-6.4113,2.36569,-44.8166
8,-6.46512,2.32702,-44.7659
8,-6.44518,2.39244,-44.7422
8,-6.403,2.37818,-44.7899
8,-6.38195,2.44601,-44.7693
8,-6.3592,2.39798,-44.9047
8,-6.47059,2.34291,-44.7606
8,-6.44741,2.34381,-44.7861
8,-6.48041,2.41618,-44.8369
8,-6.41725,2.36197,-44.7992
8,-6.39142,2.39981,-44.8396
8,-6.34299,2.28262,-44.9337
8,-6.41907,2.38328,-44.8079
8,-6.43996,2.40944,-44.8657
8,-6.41055,2.31403,-44.8236
8,-6.40413,2.38635,-44.7659
8,-6.44621,2.34782,-44.7801
10,-9.28506,-4.56933,-44.0716
10,-9.22661,-4.53554,-44.1043
10,-9.18707,-4.57123,-44.0943
10,-9.12335,-4.60302,-44.2044
10,-9.0622,-4.61573,-44.2715
10,-9.24358,-4.61318,-44.032
10,-9.22186,-4.6127,-44.1173
10,-9.25603,-4.50247,-44.054
10,-9.17335,-4.60324,-44.1238
10,-9.21245,-4.61549,-44.1693
10,-9.21364,-4.54132,-44.1168
10,-9.14226,-4.65141,-44.2255
10,-9.19975,-4.55874,-44.1793
10,-9.23564,-4.59723,-44.1146
10,-9.25584,-4.57192,-44.0989
10,-9.1113,-4.56774,-44.246
10,-9.236,-4.52596,-44.1728
10,-9.10617,-4.58678,-44.225
10,-9.21366,-4.58887,-44.1452
12,-5.66708,-11.2377,-43.6069
12,-5.75269,-11.3525,-43.4483
12,-5.73745,-11.2851,-43.4794
12,-5.6738,-11.273,-43.562
12,-5.59174,-11.3472,-43.6244
12,-5.64172,-11.2675,-43.5693
12,-5.62379,-11.3236,-43.5841
12,-5.80528,-11.312,-43.426
12,-5.68732,-11.3341,-43.4999
12,-5.63653,-11.3039,-43.5018
12,-5.74888,-11.3685,-43.4712
12,-5.74586,-11.3354,-43.4001
12,-5.77145,-11.2958,-43.4635
12,-5.75408,-11.236,-43.5029
12,-5.71048,-11.2826,-43.5619
12,-5.61101,-11.2926,-43.5986
12,-5.67151,-11.3747,-43.5326
12,-5.78068,-11.2318,-43.437
12,-5.63518,-11.2984,-43.5474
14,3.51691,-14.4959,-42.1948
14,3.56109,-14.4855,-42.2674
14,3.50128,-14.505,-42.2106
14,3.57092,-14.4876,-42.2347
14,3.58417,-14.446,-42.275
14,3.51368,-14.4782,-42.239
14,3.58294,-14.4679,-42.3087
14,3.51029,-14.4474,-42.2063
14,3.46028,-14.5435,-42.134
14,3.46805,-14.5219,-42.1387
14,3.55963,-14.5094,-42.236
14,3.62113,-14.4886,-42.2791
14,3.55238,-14.5603,-42.2289
14,3.58835,-14.3899,-42.2532
14,3.5892,-14.5205,-42.2773
14,3.52906,-14.4843,-42.2326
14,3.60532,-14.5314,-42.2956
14,3.57022,-14.4833,-42.2944
16,11.5531,-8.65228,-39.6915
16,11.5621,-8.4593,-39.7733
