index,x,y,z
2,8.4597,-0.029417,-41.0923
2,8.39473,0.0730925,-41.0504
2,8.31588,-0.103366,-40.9853
2,8.42381,-0.019915,-41.0462
2,8.32939,-0.0130125,-41.0365
2,8.45678,0.0231111,-41.0444
2,8.29317,-0.0272584,-40.9601
2,8.35071,-0.000306311,-40.9929
2,8.30098,0.0800056,-40.9648
2,8.39454,0.0732866,-41.0271
2,8.30767,-0.0877656,-40.9724
2,8.3125,-0.0327221,-41.0098
2,8.37036,0.00136026,-41.0358
2,8.40039,-0.0314544,-41.0264
2,8.44115,-0.021091,-41.0519
2,8.25541,0.0512514,-40.9245
2,8.29324,-0.0126641,-40.9208
2,8.30375,-0.0323426,-40.9459
2,8.4528,-0.0169623,-41.1088
4,9.72039,-6.13876,-41.2818
4,9.52705,-6.01712,-41.1505
4,9.57088,-6.05661,-41.2202
4,9.57803,-6.03695,-41.1863
4,9.41829,-6.01266,-41.1066
4,9.50194,-6.14226,-41.1415
4,9.55619,-6.05466,-41.2372
4,9.48766,-6.0761,-41.1543
4,9.47614,-6.06873,-41.1103
4,9.55821,-6.0598,-41.1648
4,9.53034,-6.15099,-41.1583
4,9.59588,-6.14158,-41.1813
4,9.52918,-5.95166,-41.1354
4,9.47648,-6.03351,-41.1342
4,9.56207,-6.10606,-41.2179
4,9.55583,-5.95028,-41.1534
4,9.4249,-6.05501,-41.174
4,9.46975,-6.06098,-41.1574
4,9.60559,-5.98195,-41.1921
6,-4.60791,-2.74695,-41.9069
6,-4.64577,-2.72994,-41.933
6,-4.78285,-2.76764,-41.7223
6,-4.6246,-2.70001,-41.897
6,-4.74702,-2.75557,-41.7851
6,-4.77959,-2.71129,-41.7267
6,-4.60132,-2.74661,-41.9451
6,-4.66839,-2.81907,-41.832
6,-4.62754,-2.81871,-41.8943
6,-4.73505,-2.7167,-41.8153
6,-4.67592,-2.75902,-41.8606
6,-4.78788,-2.73888,-41.7419
6,-4.63304,-2.85606,-41.8702
6,-4.68692,-2.74583,-41.817
6,-4.58216,-2.70066,-41.9169
6,-4.72422,-2.75969,-41.8022
6,-4.62911,-2.78836,-41.9175
6,-4.69796,-2.80338,-41.8591
6,-4.747,-2.7449,-41.7892
8,10.3022,-1.10229,-41.3967
8,10.095,-1.09697,-41.2459
8,10.4312,-1.01513,-41.3955
8,10.2815,-0.988982,-41.4056
8,10.2689,-1.048,-41.3645
8,10.2617,-1.03967,-41.3487
8,10.2929,-1.00242,-41.3613
8,10.2178,-1.0342,-41.2595
8,10.3698,-1.11821,-41.4271
8,10.2809,-1.02387,-41.3422
8,10.2093,-1.05046,-41.351
8,10.2682,-1.09837,-41.3383
8,10.2548,-1.10923,-41.3253
8,10.2773,-1.11225,-41.3564
8,10.2565,-1.04462,-41.3643
8,10.2176,-1.02853,-41.3368
8,10.2274,-1.09795,-41.3605
8,10.2586,-0.983092,-41.2952
8,10.1983,-0.97221,-41.3308
10,11.0789,-4.27843,-41.1284
10,10.8905,-4.39708,-41.0006
10,11.0243,-4.35056,-41.1645
10,10.9625,-4.25095,-41.1856
10,11.054,-4.33006,-41.1678
10,10.9741,-4.29707,-41.0486
10,11.1244,-4.33272,-41.2042
10,11.0837,-4.27023,-41.252
10,11.0088,-4.36794,-41.1158
10,10.996,-4.39058,-41.1819
10,11.0585,-4.3404,-41.2068
10,10.9627,-4.38588,-41.0913
10,11.0538,-4.36139,-41.1214
10,10.9946,-4.28693,-41.1352
10,10.9382,-4.27557,-41.097
10,10.9671,-4.41376,-41.1401
10,11.0026,-4.27952,-41.1501
10,10.9519,-4.29566,-41.1001
10,11.0377,-4.26705,-41.1974
12,3.7689,-9.3635,-43.3203
12,3.7741,-9.36973,-43.3253
12,3.80571,-9.413,-43.3726
12,3.67044,-9.34917,-43.2733
12,3.75964,-9.37756,-43.3086
12,3.87376,-9.35742,-43.4188
12,3.76018,-9.39489,-43.3478
12,3.70044,-9.31368,-43.3208
12,3.77579,-9.45259,-43.389
12,3.80385,-9.37142,-43.38
12,3.76507,-9.34936,-43.3685
12,3.75788,-9.394,-43.3194
12,3.67931,-9.36893,-43.2882
12,3.75582,-9.33436,-43.3383
12,3.82134,-9.38026,-43.4004
12,3.77967,-9.39524,-43.4162
12,3.85104,-9.39979,-43.3808
12,3.70574,-9.31999,-43.3027
12,3.66889,-9.33161,-43.2217
14,7.55284,-7.90887,-43.5576
14,7.52812,-7.89646,-43.5288
14,7.57744,-7.72716,-43.568
14,7.60671,-7.9367,-43.5306
14,7.61867,-7.81863,-43.5853
14,7.55542,-7.8231,-43.5302
14,7.5358,-7.86328,-43.5343
14,7.45571,-7.88778,-43.4516
14,7.67351,-7.84306,-43.6009
14,7.47531,-7.80042,-43.4611
14,7.57767,-7.93134,-43.5572
14,7.46964,-7.88046,-43.4707
14,7.69153,-7.88553,-43.5959
14,7.62907,-7.79122,-43.5848
14,7.58889,-7.85296,-43.5125
14,7.62056,-7.72804,-43.6175
14,7.62737,-7.86132,-43.5682
14,7.62827,-7.85628,-43.607
14,7.67366,-7.93341,-43.6092
16,6.41951,-8.66314,-42.3296
16,6.31949,-8.76288,-42.3838
16,6.58011,-8.75315,-42.4605
16,6.41313,-8.68256,-42.4034
16,6.34201,-8.72153,-42.3249
16,6.45298,-8.82275,-42.4508
16,6.36163,-8.77753,-42.4065
16,6.40541,-8.6724,-42.4113
16,6.31854,-8.75127,-42.4207
16,6.32093,-8.71168,-42.3894
16,6.32451,-8.6888,-42.3884
16,6.42143,-8.77787,-42.419
16,6.33969,-8.63497,-42.4063
16,6.47172,-8.64403,-42.5639
16,6.28183,-8.78672,-42.2917
16,6.28011,-8.67451,-42.3371
16,6.48556,-8.71645,-42.5199
16,6.33007,-8.69622,-42.3941
16,6.55415,-8.69213,-42.5265
18,-5.30061,0.289755,-41.2902
18,-5.52861,0.340872,-41.066
18,-5.4488,0.294751,-41.0951
18,-5.53686,0.361246,-41.0714
18,-5.37389,0.254774,-41.2012
18,-5.40867,0.276583,-41.1006
18,-5.54603,0.267301,-41.0614
18,-5.46613,0.245387,-41.0895
18,-5.3492,0.263793,-41.219
18,-5.34633,0.358571,-41.1362
18,-5.47633,0.340817,-41.1439
18,-5.5072,0.302264,-41.0276
18,-5.42949,0.328028,-41.1924
18,-5.43511,0.339452,-41.0826
18,-5.41259,0.399985,-41.1121
18,-5.42541,0.350795,-41.1336
18,-5.40952,0.279263,-41.1115
18,-5.41849,0.313537,-41.1219
18,-5.54948,0.342866,-41.1
20,12.8564,1.19777,-38.4315
20,12.9067,1.08456,-38.462
20,12.929,1.20575,-38.4103
20,12.8967,1.14899,-38.4014
20,12.7574,1.32979,-38.335
20,12.6932,1.26581,-38.2704
20,12.9326,1.186,-38.4612
20,12.7406,1.21272,-38.2981
20,12.85,1.14928,-38.4021
20,12.8506,1.26685,-38.3842
20,12.945,1.19015,-38.4593
20,12.8398,1.26393,-38.3707
20,12.856,1.18836,-38.3879
20,12.9392,1.18753,-38.4637
20,12.9404,1.21755,-38.4505
20,12.816,1.26004,-38.4086
20,12.8168,1.16959,-38.3313
20,12.8393,1.27124,-38.3992
20,12.869,1.09742,-38.4737
22,0.849386,1.98106,-41.5171
22,0.792213,1.9474,-41.5174
22,0.783764,1.90429,-41.522
22,0.82295,2.0096,-41.5892
22,0.907965,1.9046,-41.5687
22,1.00285,1.78913,-41.6621
22,0.860409,1.87704,-41.6403
22,0.875815,1.94224,-41.6148
22,0.755632,1.91051,-41.5118
22,0.796346,1.86458,-41.5549
22,0.694283,1.97771,-41.4252
22,0.740631,1.9432,-41.4426
22,0.715256,1.96131,-41.4468
22,0.780047,1.87361,-41.5521
22,0.843128,1.94718,-41.5597
22,0.744515,1.96415,-41.5205
22,0.828542,1.99262,-41.499
22,0.862889,1.87594,-41.5253
22,0.840904,1.99178,-41.592
24,-4.94712,2.41985,-42.0144
24,-4.82355,2.21046,-42.1102
24,-4.99863,2.26865,-41.9128
24,-4.97187,2.21383,-42.0011
24,-4.97473,2.33226,-41.9422
24,-4.95118,2.28389,-42.0281
24,-4.80924,2.36865,-42.1428
24,-4.84164,2.28385,-42.1249
24,-4.86263,2.27973,-42.1312
24,-4.96425,2.29248,-41.9911
24,-4.98982,2.31259,-41.9496
24,-4.92588,2.25119,-42.1008
24,-4.96949,2.34271,-42.0858
24,-4.95839,2.26097,-42.0358
24,-4.83242,2.24509,-42.1011
24,-4.90829,2.23627,-42.0507
24,-4.93127,2.22797,-41.9728
24,-4.93665,2.34474,-41.9715
24,-5.0098,2.32284,-41.9735
26,-8.04079,9.24306,-40.8605
26,-8.06752,9.20321,-40.8014
26,-8.0345,9.08924,-40.8517
26,-8.11367,9.07519,-40.7226
26,-8.08001,9.09803,-40.841
26,-8.08044,9.23179,-40.7925
26,-8.08826,9.20963,-40.7548
26,-8.04359,9.14993,-40.8732
26,-8.04558,9.14847,-40.8978
26,-8.12434,9.22396,-40.833
26,-8.17771,9.26491,-40.6747
26,-8.05019,9.21293,-40.8625
26,-8.08427,9.30195,-40.8633
26,-8.08564,9.18121,-40.8098
26,-7.91696,9.17173,-40.9534
26,-8.04575,9.10833,-40.8965
26,-8.04008,9.1753,-40.857
26,-7.95987,9.1459,-40.8589
28,-5.72841,8.78306,-41.8017
28,-5.79413,8.77227,-41.6883
28,-5.75029,8.80077,-41.914
28,-5.7124,8.80811,-41.835
28,-5.69455,8.6956,-41.8713
28,-5.75305,8.75835,-41.7561
28,-5.76824,8.70599,-41.7446
28,-5.64838,8.77774,-41.8379
28,-5.69982,8.83208,-41.8182
28,-5.8263,8.69258,-41.7224
28,-5.74737,8.77331,-41.7585
28,-5.72664,8.66817,-41.8245
