index,x,y,z
2,3.33866,-10.692,-42.6493
2,3.27715,-10.7795,-42.5717
2,3.31264,-10.7294,-42.6042
2,3.30562,-10.7417,-42.5751
2,3.28776,-10.7295,-42.5823
2,3.33013,-10.7352,-42.6169
2,3.28541,-10.7719,-42.5242
2,3.30527,-10.7011,-42.6148
2,3.2129,-10.7189,-42.5073
2,3.30722,-10.6915,-42.6386
2,3.34142,-10.7354,-42.5862
2,3.24023,-10.6606,-42.5237
2,3.28918,-10.675,-42.569
2,3.32137,-10.7923,-42.5609
2,3.30947,-10.8192,-42.56
2,3.26116,-10.6961,-42.6028
2,3.29431,-10.7459,-42.5462
2,3.23679,-10.8379,-42.5681
2,3.28275,-10.7539,-42.5437
4,1.14916,-12.3991,-41.9595
4,1.14525,-12.445,-41.9651
4,1.10629,-12.4778,-41.9354
4,1.1196,-12.4537,-41.9721
4,1.06565,-12.4605,-41.8482
4,1.06066,-12.3723,-41.8811
4,1.07276,-12.4632,-41.8673
4,1.11373,-12.4885,-41.8899
4,1.08885,-12.4464,-42.0053
4,1.05166,-12.4174,-41.8823
4,1.16413,-12.4934,-41.9245
4,1.05754,-12.4383,-41.8963
4,1.1238,-12.4408,-41.9385
4,1.12277,-12.4813,-41.9305
4,1.02558,-12.4657,-41.8363
4,1.07105,-12.4497,-41.9929
4,1.10735,-12.4518,-41.8946
4,1.11571,-12.4737,-41.9067
4,1.10179,-12.5594,-41.8874
6,-3.04553,-5.91691,-41.8267
6,-3.02681,-5.9488,-41.8753
6,-3.14892,-5.88812,-41.8186
6,-3.08783,-5.92327,-41.8591
6,-3.13212,-5.9439,-41.8465
6,-3.05181,-5.96514,-41.871
6,-3.08678,-5.93046,-41.8916
6,-3.06773,-5.93671,-41.8795
6,-3.0374,-5.94242,-41.8483
6,-3.0594,-5.99282,-41.8426
6,-3.06127,-5.96013,-41.8881
6,-3.01353,-5.9549,-41.9079
6,-3.12904,-5.91134,-41.7933
6,-3.0765,-5.91922,-41.8447
6,-3.07526,-5.88129,-41.851
6,-3.09571,-5.91354,-41.8472
6,-3.11129,-5.95912,-41.8317
6,-2.98955,-5.97698,-41.9706
6,-3.01911,-5.99488,-41.8579
8,8.91276,-4.71678,-41.3436
8,8.90469,-4.76357,-41.2841
8,8.92976,-4.82457,-41.3222
8,8.9994,-4.78595,-41.3909
