index,x,y,z
1,5.9978,5.3639,-40.8152
1,6.03412,5.277,-40.8487
1,5.96634,5.25027,-40.7724
1,5.82769,5.14105,-40.7489
1,5.96268,5.15416,-40.8176
1,5.92294,5.27276,-40.7333
1,5.92577,5.26658,-40.811
1,5.94127,5.34817,-40.7466
1,5.84915,5.31929,-40.6619
2,23.7897,-1.67529,-33.5735
2,23.7995,-1.64429,-33.5637
2,23.7782,-1.58415,-33.5524
2,23.8625,-1.66324,-33.6702
2,23.8632,-1.70602,-33.6363
2,23.8994,-1.65214,-33.6397
2,23.9079,-1.6277,-33.6936
2,23.9664,-1.65765,-33.7276
2,23.7926,-1.68918,-33.575
3,6.3932,4.22497,-40.4908
3,6.5373,4.24728,-40.6358
3,6.56726,4.2827,-40.6586
3,6.53836,4.28189,-40.6012
3,6.4247,4.34754,-40.5546
3,6.52677,4.26204,-40.615
3,6.3642,4.29787,-40.5428
3,6.44653,4.29065,-40.5859
3,6.36057,4.35659,-40.4709
4,22.3423,7.03961,-33.6453
4,22.3185,6.94802,-33.6943
4,22.3352,6.9261,-33.654
4,22.4671,6.97112,-33.7157
4,22.4432,6.96234,-33.7485
4,22.3547,6.9306,-33.7006
4,22.2734,6.94482,-33.6369
4,22.4607,6.87902,-33.7879
4,22.6475,6.86698,-33.8989
5,6.3996,2.48318,-41.3335
5,6.33842,2.51481,-41.2308
5,6.29288,2.52287,-41.2246
5,6.32672,2.54889,-41.2389
5,6.28031,2.56026,-41.2117
5,6.3063,2.56644,-41.2361
5,6.29321,2.56182,-41.2647
5,6.49837,2.48171,-41.4026
5,6.44934,2.48768,-41.4051
6,18.3467,14.7941,-33.3602
6,18.2805,14.8424,-33.265
6,18.2864,14.8275,-33.2666
6,18.1886,14.8565,-33.2258
6,18.2405,14.9034,-33.2073
6,18.2112,14.9176,-33.2043
6,18.2047,14.7906,-33.2471
6,18.131,14.9724,-33.1632
6,18.205,14.8438,-33.2768
7,6.2574,5.69486,-40.6213
7,6.30226,5.67129,-40.669
7,6.1212,5.66126,-40.5487
7,6.34385,5.71549,-40.7391
7,6.22282,5.68786,-40.6648
7,6.20911,5.71269,-40.5768
7,6.2246,5.72975,-40.6304
7,6.31331,5.75414,-40.7313
7,6.36322,5.70355,-40.7532
8,12.6589,20.8077,-31.9273
8,12.6854,20.6797,-31.9679
8,12.825,20.7234,-32.0367
8,12.7906,20.7861,-32.0359
8,12.8794,20.7623,-32.1157
8,12.7877,20.7781,-32.0543
8,12.7053,20.6379,-31.9949
8,12.7969,20.7622,-31.9829
8,12.7849,20.7475,-32.05
9,4.49629,6.90862,-40.2312
9,4.60403,6.81438,-40.3684
9,4.6123,6.85885,-40.3642
9,4.57213,6.91946,-40.2587
9,4.51711,6.91503,-40.2554
9,4.55682,6.83452,-40.3167
9,4.47081,6.89668,-40.2221
9,4.73871,6.78552,-40.4561
9,4.53107,6.86981,-40.3162
10,6.34236,23.7,-31.5734
10,6.33251,23.7035,-31.5622
10,6.27767,23.7555,-31.4901
10,6.30579,23.7636,-31.5873
10,6.3782,23.649,-31.6486
10,6.21707,23.7141,-31.4398
10,6.24074,23.7348,-31.4826
10,6.24016,23.6537,-31.4614
10,6.26956,23.713,-31.5481
11,2.48922,4.89812,-41.3151
11,2.50064,5.01475,-41.2751
11,2.55423,4.9011,-41.2762
11,2.4232,4.97034,-41.1786
11,2.45347,4.96573,-41.2649
11,2.46374,4.92023,-41.2075
11,2.48805,4.93356,-41.2142
11,2.55234,4.94614,-41.2627
11,2.40989,4.93411,-41.1466
12,-0.860619,24.6118,-31.5502
12,-0.78286,24.6182,-31.5861
12,-0.66705,24.5073,-31.6713
12,-0.79521,24.5738,-31.5867
12,-0.818335,24.6463,-31.5969
12,-0.737932,24.5601,-31.6905
12,-0.66814,24.6408,-31.6804
12,-0.744359,24.517,-31.6796
12,-0.854366,24.6311,-31.557
13,3.06969,7.99579,-40.2077
13,3.03209,7.93417,-40.2742
13,3.14001,7.97554,-40.3257
13,3.10718,7.97547,-40.3389
13,3.08596,7.89003,-40.2914
13,3.19706,7.98115,-40.4151
13,2.9717,7.98746,-40.2005
13,3.10678,7.94605,-40.2956
13,3.00155,7.96888,-40.2275
14,-5.96558,22.5669,-32.8524
14,-5.92315,22.6892,-32.8881
14,-5.92671,22.6176,-32.8954
14,-5.89465,22.5512,-32.9263
14,-6.00612,22.6265,-32.8863
14,-6.03879,22.577,-32.8001
14,-5.87218,22.605,-32.9737
14,-5.94162,22.594,-32.8965
14,-5.94455,22.6632,-32.8955
15,2.1772,9.10137,-39.953
15,2.2364,9.05355,-39.9957
15,2.12985,9.03194,-39.8868
15,2.21137,9.06049,-39.9961
15,2.20809,9.0094,-40.003
15,2.11019,9.02616,-39.918
15,2.0615,9.03612,-39.9403
15,2.20586,9.0408,-40.021
15,2.21145,9.08612,-39.9956
16,-11.7127,17.6375,-34.1944
16,-11.722,17.7084,-34.1501
16,-11.6911,17.7069,-34.146
16,-11.7246,17.7647,-34.101
16,-11.7586,17.7785,-34.051
16,-11.776,17.6778,-34.0813
16,-11.7777,17.7071,-34.1052
16,-11.6763,17.7289,-34.1439
16,-11.6909,17.7267,-34.1879
17,0.954184,7.48016,-40.3585
17,0.875034,7.60255,-40.2884
17,1.00795,7.47137,-40.3868
17,1.0464,7.50948,-40.4379
17,1.02008,7.46114,-40.4007
17,0.96181,7.4482,-40.3826
17,0.995446,7.47579,-40.496
17,1.01708,7.45181,-40.444
18,-15.6181,12.9281,-34.3675
18,-15.5795,12.9593,-34.4011
18,-15.6475,12.8298,-34.3428
18,-15.6134,12.9119,-34.3721
18,-15.6374,12.9639,-34.3278
18,-15.68,12.8683,-34.3589
18,-15.6449,12.9139,-34.2933
18,-15.6067,12.882,-34.4184
18,-15.6104,12.838,-34.3674
19,0.663089,6.56494,-40.731
19,0.744077,6.55232,-40.756
19,0.704827,6.67495,-40.7644
19,0.683362,6.57803,-40.7186
19,0.627659,6.55775,-40.7001
19,0.790226,6.47956,-40.8341
19,0.598543,6.664,-40.6863
19,0.681928,6.603,-40.7826
19,0.690319,6.74519,-40.7217
20,-18.1507,7.09184,-34.8862
20,-18.2119,7.10558,-34.8329
20,-18.1565,7.04519,-34.859
20,-18.1453,7.06128,-34.8833
20,-18.1692,7.00808,-34.8898
20,-18.2054,7.16769,-34.8291
20,-18.2301,7.11583,-34.8051
20,-18.1643,7.10448,-34.8966
20,-18.1155,7.17878,-34.9244
21,1.65886,4.63097,-41.2313
21,1.59205,4.63156,-41.2107
21,1.6563,4.60238,-41.2824
21,1.76664,4.60816,-41.37
21,1.64895,4.66862,-41.2763
21,1.51882,4.59603,-41.2096
21,1.71883,4.56683,-41.3615
21,1.72717,4.66406,-41.3573
21,1.75008,4.64443,-41.3288
22,-21.0411,0.348043,-34.1933
22,-20.9378,0.297331,-34.2814
22,-21.0206,0.349757,-34.2114
22,-21.068,0.309951,-34.1885
22,-21.0255,0.378771,-34.2184
22,-20.9768,0.344326,-34.2626
22,-21.0007,0.402458,-34.2572
22,-21.0235,0.33959,-34.259
22,-21.0824,0.328046,-34.0934
23,1.58844,2.18288,-42.3478
23,1.50105,2.17705,-42.2996
23,1.60728,2.17423,-42.3406
23,1.46571,2.18357,-42.2449
23,1.46311,2.08587,-42.2657
23,1.48325,2.20117,-42.2697
23,1.5923,2.02446,-42.3521
23,1.52704,2.19426,-42.2506
23,1.41486,2.18419,-42.2458
24,-22.3692,-6.4716,-32.8835
24,-22.3766,-6.53642,-32.8737
24,-22.4302,-6.45063,-32.9235
24,-22.4386,-6.59996,-32.8595
24,-22.3901,-6.46498,-32.8772
24,-22.358,-6.45574,-32.9523
24,-22.4136,-6.33836,-32.8757
24,-22.3775,-6.44181,-32.9346
24,-22.3155,-6.54804,-32.9657
25,0.637619,0.909625,-43.1332
25,0.821443,0.8811,-43.2597
25,0.797474,0.967641,-43.2462
25,0.701157,0.941586,-43.1254
25,0.801908,0.94902,-43.2659
25,0.785514,0.98687,-43.2399
25,0.62349,1.0197,-43.0666
25,0.66087,0.89522,-43.0844
25,0.699492,0.947237,-43.189
26,-16.2398,-16.0055,-33.6034
26,-16.2814,-15.9834,-33.6702
26,-16.1222,-16.0649,-33.7998
26,-16.251,-16.0754,-33.7092
26,-16.2099,-16.099,-33.7039
26,-16.2316,-16.0433,-33.6728
26,-16.2357,-16.0453,-33.7237
26,-16.1348,-16.0125,-33.7776
26,-16.2561,-16.0024,-33.6706
27,1.16058,0.598086,-43.2862
27,1.19515,0.486887,-43.2772
27,1.19042,0.552456,-43.3439
27,1.11167,0.476735,-43.2379
27,1.2147,0.569322,-43.3379
27,1.18345,0.49562,-43.2848
27,1.24269,0.531316,-43.308
27,1.08172,0.504118,-43.1411
27,1.18991,0.592303,-43.2845
28,-12.3308,-19.9192,-33.8219
28,-12.3315,-19.9246,-33.8241
28,-12.3064,-19.9584,-33.7997
28,-12.2881,-19.9266,-33.8606
28,-12.2889,-19.8852,-33.8216
28,-12.3107,-19.9392,-33.8058
28,-12.2847,-20.0085,-33.8286
28,-12.2475,-20.0075,-33.89
28,-12.1085,-20.0583,-33.9781
29,1.57383,0.034618,-43.252
29,1.69908,-0.0114,-43.2584
29,1.70826,0.0609247,-43.2864
29,1.68265,-0.0496713,-43.3357
29,1.57271,0.0123494,-43.2329
29,1.78779,0.0211751,-43.3631
29,1.66908,0.0999937,-43.3691
29,1.64256,0.0354768,-43.3682
29,1.66309,0.0726379,-43.3621
30,-5.44139,-22.8896,-34.004
30,-5.4809,-22.89,-34.008
30,-5.55878,-22.9865,-33.8893
30,-5.39886,-23.0196,-33.9902
30,-5.46418,-23.0086,-33.905
