index,x,y,z
1,1.26429,-0.628821,-42.8237
1,1.29172,-0.631545,-42.8247
1,1.2794,-0.696207,-42.8146
1,1.31458,-0.672519,-42.8638
1,1.28351,-0.644917,-42.8241
1,1.24851,-0.664603,-42.814
1,1.23202,-0.645884,-42.7991
1,1.21164,-0.613233,-42.7589
1,1.32841,-0.731794,-42.9111
2,24.0974,-3.72653,-33.7902
2,24.0255,-3.71936,-33.7861
2,24.0497,-3.77109,-33.7896
2,24.0495,-3.7086,-33.7836
2,23.9825,-3.73056,-33.7428
2,24.093,-3.71887,-33.8118
2,24.025,-3.71232,-33.7439
2,24.0434,-3.74769,-33.7831
2,24.0836,-3.71044,-33.815
3,0.784161,0.177772,-42.4027
3,0.834139,0.210461,-42.419
3,0.776048,0.125162,-42.3814
3,0.838103,0.182633,-42.4345
3,0.79772,0.147236,-42.3654
3,0.81224,0.205562,-42.4329
3,0.773594,0.135958,-42.3892
3,0.792311,0.143217,-42.3789
3,0.799719,0.181938,-42.3858
4,22.9804,6.1819,-33.545
4,22.9723,6.12435,-33.5328
4,22.9339,6.14004,-33.5357
4,22.9166,6.14813,-33.5209
4,22.9232,6.11024,-33.5212
4,22.9749,6.0908,-33.5469
4,22.9369,6.12794,-33.5217
4,22.9575,6.15479,-33.5637
4,22.9103,6.11132,-33.5007
5,1.56547,0.0782299,-42.4602
5,1.59272,0.131913,-42.4904
5,1.60742,0.0816446,-42.5149
5,1.51803,0.0987772,-42.4617
5,1.5439,0.173899,-42.4617
5,1.57334,0.114417,-42.4908
5,1.59215,0.109325,-42.4649
5,1.56241,0.0862674,-42.4791
5,1.5914,0.103055,-42.503
6,18.7949,14.3934,-33.0272
6,18.7033,14.401,-32.9314
6,18.7174,14.3859,-32.9711
6,18.7113,14.3392,-32.987
6,18.7353,14.4789,-32.9899
6,18.7781,14.4349,-33.0179
6,18.799,14.4607,-33.0378
6,18.7879,14.4478,-33.0313
6,18.7529,14.4212,-32.9715
7,1.51889,0.0883198,-42.4868
7,1.52855,0.0523762,-42.5037
7,1.51353,0.0824584,-42.4535
7,1.42835,0.11515,-42.3955
7,1.49989,0.0678785,-42.4823
7,1.52086,0.0911268,-42.432
7,1.48202,0.0812134,-42.4668
7,1.52534,0.0582609,-42.4653
8,15.0671,18.3491,-32.3232
8,12.5169,19.3396,-32.095
8,14.4254,19.7232,-32.0101
8,13.2503,20.0325,-32.0961
8,13.6389,19.9248,-31.9499
8,13.1075,20.3319,-32.0647
8,13.3361,20.3461,-32.0463
8,13.2451,20.3855,-32.0908
8,13.369,20.1009,-32.0547
9,1.09034,-1.10281,-42.3499
9,1.13308,-1.1855,-42.3907
9,1.05147,-1.19846,-42.3582
9,1.11379,-1.17902,-42.437
9,1.10186,-1.17265,-42.3976
9,1.11841,-1.12462,-42.3641
9,1.07508,-1.13883,-42.3648
9,1.14551,-1.12827,-42.3972
9,1.09866,-1.13192,-42.4164
10,6.72837,22.8944,-32.1329
10,6.70093,22.9222,-32.1287
10,6.63574,22.9834,-32.0958
10,6.69296,22.9336,-32.1355
10,6.72048,22.9102,-32.1677
10,6.66418,22.9681,-32.0841
10,6.68423,22.8532,-32.0873
10,6.75846,22.9411,-32.1513
10,6.75193,22.9095,-32.1654
11,1.60923,-0.244755,-42.4689
11,1.53029,-0.199675,-42.411
11,1.55909,-0.283358,-42.4152
11,1.59488,-0.319306,-42.4628
11,1.49466,-0.232278,-42.3889
11,1.61159,-0.281921,-42.49
11,1.59231,-0.220242,-42.4584
