frame_id,position.x,position.y,position.z,orientation.x,orientation.y,orientation.z
C36,84.7888,45.1265,1343.54,-0.0703102,0.0435594,-0.901929
C36,84.7809,45.1287,1343.49,-0.0708922,0.0464078,-0.902286
C36,84.7977,45.1342,1343.48,-0.0732559,0.0439084,-0.901512
C36,84.7891,45.1229,1343.45,-0.0718708,0.0481407,-0.901421
C36,84.7873,45.1132,1343.47,-0.0743201,0.0510233,-0.901191
C36,84.7879,45.1338,1343.47,-0.0645856,0.0427267,-0.900922
C36,84.7838,45.1328,1343.38,-0.0741372,0.0505061,-0.901879
C36,84.7792,45.1382,1343.46,-0.0650433,0.0552713,-0.901278
C36,84.7779,45.1289,1343.47,-0.0745654,0.0455487,-0.90155
C36,84.7967,45.1355,1343.45,-0.0651783,0.0485836,-0.901092
C36,84.7765,45.1155,1343.36,-0.0671806,0.0475225,-0.90161
C36,84.7867,45.133,1343.44,-0.0751861,0.0462615,-0.901773
C36,84.783,45.1063,1343.41,-0.0695387,0.0436536,-0.902265
C36,84.787,45.1202,1343.42,-0.070177,0.0479527,-0.901866
C36,84.771,45.1082,1343.43,-0.0698467,0.0456022,-0.902014
C36,84.7905,45.1191,1343.41,-0.0761413,0.048222,-0.901677
C36,84.7808,45.1306,1343.42,-0.0665425,0.0463077,-0.901252
C36,84.7887,45.127,1343.44,-0.0749142,0.0472778,-0.902206
C36,84.7828,45.1202,1343.47,-0.0766907,0.0431535,-0.901718
C36,84.7909,45.1216,1343.49,-0.0778459,0.045463,-0.901376
C36,84.7837,45.1288,1343.36,-0.0690433,0.0444442,-0.902075
C36,84.7814,45.1145,1343.43,-0.0715208,0.0462837,-0.901424
C36,84.785,45.1229,1343.44,-0.0738157,0.0473382,-0.901674
C36,84.7913,45.1165,1343.46,-0.0767779,0.0458802,-0.901301
C36,84.7853,45.1244,1343.49,-0.074694,0.0470092,-0.901588
C36,84.7842,45.1332,1343.45,-0.0745275,0.0451817,-0.901367
C36,84.7887,45.1171,1343.45,-0.0693998,0.0452727,-0.901432
C36,84.7911,45.1122,1343.45,-0.0708444,0.0479403,-0.901437
C36,84.7884,45.1176,1343.45,-0.0721817,0.0438627,-0.902044
C36,84.7939,45.1262,1343.48,-0.079427,0.0431034,-0.901868
C36,84.7842,45.1217,1343.42,-0.0730241,0.0479301,-0.901582
C36,84.7889,45.1262,1343.52,-0.0708087,0.0485382,-0.901371
C36,84.7897,45.1264,1343.44,-0.0723429,0.0471441,-0.90119
C36,84.7855,45.1135,1343.47,-0.0749963,0.0446115,-0.901281
C36,84.7968,45.1306,1343.41,-0.0683932,0.0489069,-0.901677
C36,84.7909,45.1182,1343.5,-0.0799303,0.0427377,-0.901674
C36,84.7844,45.1345,1343.5,-0.0720891,0.0443761,-0.901422
C36,84.7846,45.1184,1343.5,-0.0729809,0.0424572,-0.901322
C36,84.7848,45.124,1343.46,-0.0705868,0.0425611,-0.901243
C36,84.7865,45.1142,1343.5,-0.0713508,0.0472839,-0.901773
C36,84.7909,45.1088,1343.38,-0.0671331,0.0477085,-0.901414
C36,84.78,45.1279,1343.46,-0.0754525,0.0396358,-0.901609
C36,84.7814,45.1144,1343.44,-0.0687031,0.0501243,-0.901869
C36,84.785,45.106,1343.45,-0.0730306,0.0499281,-0.901904
C36,84.7823,45.1214,1343.48,-0.0756845,0.0429676,-0.90197
C36,84.7861,45.1099,1343.4,-0.0702687,0.0426245,-0.901713
C36,84.7816,45.1183,1343.48,-0.0719563,0.0418438,-0.901825
C36,84.7827,45.1274,1343.54,-0.0704198,0.0432583,-0.90171
C36,84.7875,45.1056,1343.41,-0.0735762,0.0446613,-0.902241
