index,x,y,z
1,-1.90871,11.9101,-39.4124
1,-1.90118,11.903,-39.3441
1,-1.90514,11.9053,-39.4065
1,-1.90542,11.9087,-39.3945
1,-1.90961,11.9044,-39.4222
1,-1.91271,11.9055,-39.3776
1,-1.91445,11.9039,-39.376
1,-1.90571,11.9074,-39.3842
1,-1.91165,11.9034,-39.3759
1,-1.90783,11.9089,-39.3829
1,-1.90325,11.9062,-39.3773
1,-1.91989,11.9086,-39.3831
1,-1.916,11.9108,-39.399
1,-1.90289,11.9043,-39.3921
1,-1.91177,11.9156,-39.3976
1,-1.91344,11.9117,-39.4091
1,-1.90345,11.9097,-39.3864
1,-1.90511,11.9081,-39.3733
2,0.930145,-4.11656,-44.9631
2,0.96667,-4.18277,-44.9993
2,0.901321,-4.10311,-44.9553
2,0.813762,-4.09044,-44.9928
2,0.841607,-4.12171,-44.9342
2,0.959699,-4.16148,-44.9733
2,0.792394,-4.20247,-44.9581
2,0.903789,-4.16007,-44.9134
2,0.926505,-4.07873,-44.9608
2,0.819686,-4.13095,-44.8759
2,0.9381,-4.10733,-45.0322
2,0.8996,-4.22169,-44.9601
2,0.840698,-4.19309,-44.9058
2,0.923748,-4.11192,-44.9379
2,0.932089,-4.10879,-45.0564
2,0.888687,-4.12146,-44.9799
2,0.987307,-4.13827,-44.9485
2,0.927758,-4.09044,-44.9853
2,0.902396,-4.12528,-44.9549
3,8.24729,-0.139932,-45.882
3,8.24742,-0.188369,-45.8478
3,8.15882,-0.12265,-45.8726
3,8.34129,-0.188133,-45.8637
3,8.18802,-0.24746,-45.8614
3,8.25689,-0.151518,-45.8685
3,8.31107,-0.126964,-45.8305
3,8.09171,-0.152825,-45.8244
3,8.26975,-0.157213,-45.8139
3,8.24903,-0.235397,-45.8409
3,8.25515,-0.148708,-45.8212
3,8.13847,-0.21653,-45.8643
3,8.37598,-0.183811,-45.9466
3,8.31006,-0.108248,-45.9213
3,8.28177,-0.15492,-45.9133
3,8.21982,-0.20248,-45.8618
3,8.26639,-0.0683208,-45.897
